op,gpus,msg_size,algbw_GBps,busbw_GBps
alltoall_perf,2,16777216,32.17,16.08
alltoall_perf,2,67108864,34.77,17.39
alltoall_perf,2,268435456,35.46,17.73
alltoall_perf,2,1073741824,35.49,17.74
alltoall_perf,4,16777216,21.99,16.49
alltoall_perf,4,67108864,23.81,17.86
alltoall_perf,4,268435456,24.55,18.41
alltoall_perf,4,1073741824,24.97,18.73
alltoall_perf,8,16777216,15.82,13.85
alltoall_perf,8,67108864,18.28,16.00
alltoall_perf,8,268435456,19.34,16.92
alltoall_perf,8,1073741824,19.81,17.33
broadcast_perf,2,16777216,38.90,38.90
broadcast_perf,2,67108864,40.31,40.31
broadcast_perf,2,268435456,40.92,40.92
broadcast_perf,2,1073741824,41.20,41.20
broadcast_perf,4,16777216,22.48,22.48
broadcast_perf,4,67108864,23.09,23.09
broadcast_perf,4,268435456,23.28,23.28
broadcast_perf,4,1073741824,23.35,23.35
broadcast_perf,8,16777216,18.97,18.97
broadcast_perf,8,67108864,19.51,19.51
broadcast_perf,8,268435456,19.61,19.61
broadcast_perf,8,1073741824,19.58,19.58
all_reduce_perf,2,16777216,15.61,15.61
all_reduce_perf,2,67108864,15.92,15.92
all_reduce_perf,2,268435456,16.44,16.44
all_reduce_perf,2,1073741824,16.81,16.81
all_reduce_perf,4,16777216,12.25,18.37
all_reduce_perf,4,67108864,12.40,18.60
all_reduce_perf,4,268435456,12.62,18.93
all_reduce_perf,4,1073741824,12.85,19.28
all_reduce_perf,8,16777216,10.45,18.29
all_reduce_perf,8,67108864,10.73,18.77
all_reduce_perf,8,268435456,10.79,18.88
all_reduce_perf,8,1073741824,10.80,18.91
