timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 11:46:11.603, 0, 0, 0, 97887
2026/07/08 11:46:11.620, 1, 0, 0, 97887
2026/07/08 11:46:11.636, 2, 0, 0, 97887
2026/07/08 11:46:11.654, 3, 0, 0, 97887
2026/07/08 11:46:11.670, 4, 0, 0, 97887
2026/07/08 11:46:11.687, 5, 0, 0, 97887
2026/07/08 11:46:11.703, 6, 0, 0, 97887
2026/07/08 11:46:11.719, 7, 0, 0, 97887
2026/07/08 11:46:12.736, 0, 0, 0, 97887
2026/07/08 11:46:12.752, 1, 0, 0, 97887
2026/07/08 11:46:12.765, 2, 0, 0, 97887
2026/07/08 11:46:12.782, 3, 0, 0, 97887
2026/07/08 11:46:12.797, 4, 0, 0, 97887
2026/07/08 11:46:12.813, 5, 0, 0, 97887
2026/07/08 11:46:12.829, 6, 0, 0, 97887
2026/07/08 11:46:12.845, 7, 0, 0, 97887
2026/07/08 11:46:13.861, 0, 0, 0, 97887
2026/07/08 11:46:13.881, 1, 0, 0, 97887
2026/07/08 11:46:13.899, 2, 0, 0, 97887
2026/07/08 11:46:13.917, 3, 0, 0, 97887
2026/07/08 11:46:13.934, 4, 0, 0, 97887
2026/07/08 11:46:13.954, 5, 0, 0, 97887
2026/07/08 11:46:13.973, 6, 0, 0, 97887
2026/07/08 11:46:13.991, 7, 0, 0, 97887
2026/07/08 11:46:15.007, 0, 0, 0, 97887
2026/07/08 11:46:15.020, 1, 0, 0, 97887
2026/07/08 11:46:15.030, 2, 0, 0, 97887
2026/07/08 11:46:15.043, 3, 0, 0, 97887
2026/07/08 11:46:15.058, 4, 0, 0, 97887
2026/07/08 11:46:15.070, 5, 0, 0, 97887
2026/07/08 11:46:15.087, 6, 0, 0, 97887
2026/07/08 11:46:15.102, 7, 0, 0, 97887
2026/07/08 11:46:16.118, 0, 0, 0, 97887
2026/07/08 11:46:16.137, 1, 0, 0, 97887
2026/07/08 11:46:16.158, 2, 0, 0, 97887
2026/07/08 11:46:16.177, 3, 0, 0, 97887
2026/07/08 11:46:16.195, 4, 0, 0, 97887
2026/07/08 11:46:16.211, 5, 0, 0, 97887
2026/07/08 11:46:16.233, 6, 0, 0, 97887
2026/07/08 11:46:16.254, 7, 0, 0, 97887
2026/07/08 11:46:17.276, 0, 0, 0, 97887
2026/07/08 11:46:17.293, 1, 0, 0, 97887
2026/07/08 11:46:17.308, 2, 0, 0, 97887
2026/07/08 11:46:17.322, 3, 0, 0, 97887
2026/07/08 11:46:17.335, 4, 0, 0, 97887
2026/07/08 11:46:17.346, 5, 0, 0, 97887
2026/07/08 11:46:17.360, 6, 0, 0, 97887
2026/07/08 11:46:17.375, 7, 0, 0, 97887
