timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 14:10:38.491, 0, 0, 0, 97887
2026/07/08 14:10:38.508, 1, 0, 0, 97887
2026/07/08 14:10:38.528, 2, 0, 0, 97887
2026/07/08 14:10:38.545, 3, 0, 0, 97887
2026/07/08 14:10:38.563, 4, 0, 0, 97887
2026/07/08 14:10:38.582, 5, 0, 0, 97887
2026/07/08 14:10:38.601, 6, 0, 0, 97887
2026/07/08 14:10:38.618, 7, 0, 0, 97887
2026/07/08 14:10:39.636, 0, 0, 0, 97887
2026/07/08 14:10:39.649, 1, 0, 0, 97887
2026/07/08 14:10:39.662, 2, 0, 0, 97887
2026/07/08 14:10:39.676, 3, 0, 0, 97887
2026/07/08 14:10:39.689, 4, 0, 0, 97887
2026/07/08 14:10:39.701, 5, 0, 0, 97887
2026/07/08 14:10:39.715, 6, 0, 0, 97887
2026/07/08 14:10:39.728, 7, 0, 0, 97887
2026/07/08 14:10:40.741, 0, 0, 0, 97887
2026/07/08 14:10:40.757, 1, 0, 0, 97887
2026/07/08 14:10:40.772, 2, 0, 0, 97887
2026/07/08 14:10:40.784, 3, 0, 0, 97887
2026/07/08 14:10:40.799, 4, 0, 0, 97887
2026/07/08 14:10:40.812, 5, 0, 0, 97887
2026/07/08 14:10:40.828, 6, 0, 0, 97887
2026/07/08 14:10:40.844, 7, 0, 0, 97887
2026/07/08 14:10:41.859, 0, 0, 0, 97887
2026/07/08 14:10:41.878, 1, 0, 0, 97887
2026/07/08 14:10:41.894, 2, 0, 0, 97887
2026/07/08 14:10:41.910, 3, 0, 0, 97887
2026/07/08 14:10:41.925, 4, 0, 0, 97887
2026/07/08 14:10:41.941, 5, 0, 0, 97887
2026/07/08 14:10:41.956, 6, 0, 0, 97887
2026/07/08 14:10:41.967, 7, 0, 0, 97887
2026/07/08 14:10:42.981, 0, 0, 0, 97887
2026/07/08 14:10:42.995, 1, 0, 0, 97887
2026/07/08 14:10:43.005, 2, 0, 0, 97887
2026/07/08 14:10:43.014, 3, 0, 0, 97887
2026/07/08 14:10:43.022, 4, 0, 0, 97887
2026/07/08 14:10:43.038, 5, 0, 0, 97887
2026/07/08 14:10:43.053, 6, 0, 0, 97887
2026/07/08 14:10:43.067, 7, 0, 0, 97887
2026/07/08 14:10:44.081, 0, 0, 0, 97887
2026/07/08 14:10:44.095, 1, 0, 0, 97887
2026/07/08 14:10:44.108, 2, 0, 0, 97887
2026/07/08 14:10:44.117, 3, 0, 0, 97887
2026/07/08 14:10:44.129, 4, 0, 0, 97887
2026/07/08 14:10:44.143, 5, 0, 0, 97887
2026/07/08 14:10:44.160, 6, 0, 0, 97887
2026/07/08 14:10:44.175, 7, 0, 0, 97887
2026/07/08 14:10:45.191, 0, 0, 0, 97887
2026/07/08 14:10:45.207, 1, 0, 0, 97887
2026/07/08 14:10:45.223, 2, 0, 0, 97887
2026/07/08 14:10:45.239, 3, 0, 0, 97887
2026/07/08 14:10:45.255, 4, 0, 0, 97887
2026/07/08 14:10:45.271, 5, 0, 0, 97887
2026/07/08 14:10:45.288, 6, 0, 0, 97887
2026/07/08 14:10:45.302, 7, 0, 0, 97887
2026/07/08 14:10:46.316, 0, 0, 0, 97887
2026/07/08 14:10:46.333, 1, 0, 0, 97887
2026/07/08 14:10:46.349, 2, 0, 1, 97887
2026/07/08 14:10:46.363, 3, 0, 1, 97887
2026/07/08 14:10:46.380, 4, 0, 1, 97887
2026/07/08 14:10:46.398, 5, 0, 1, 97887
2026/07/08 14:10:46.457, 6, 0, 1, 97887
2026/07/08 14:10:46.473, 7, 0, 1, 97887
2026/07/08 14:10:47.489, 0, 0, 3, 97887
2026/07/08 14:10:47.505, 1, 0, 3, 97887
2026/07/08 14:10:47.521, 2, 0, 3, 97887
2026/07/08 14:10:47.537, 3, 0, 3, 97887
2026/07/08 14:10:47.553, 4, 0, 3, 97887
2026/07/08 14:10:47.570, 5, 0, 3, 97887
2026/07/08 14:10:47.586, 6, 0, 3, 97887
2026/07/08 14:10:47.601, 7, 0, 3, 97887
2026/07/08 14:10:48.616, 0, 0, 3, 97887
2026/07/08 14:10:48.632, 1, 0, 3, 97887
2026/07/08 14:10:48.649, 2, 0, 3, 97887
2026/07/08 14:10:48.667, 3, 0, 3, 97887
2026/07/08 14:10:48.683, 4, 0, 3, 97887
2026/07/08 14:10:48.697, 5, 0, 3, 97887
2026/07/08 14:10:48.711, 6, 0, 3, 97887
2026/07/08 14:10:48.723, 7, 0, 3, 97887
2026/07/08 14:10:49.737, 0, 0, 3, 97887
2026/07/08 14:10:49.751, 1, 0, 3, 97887
2026/07/08 14:10:49.768, 2, 0, 3, 97887
2026/07/08 14:10:49.785, 3, 0, 3, 97887
2026/07/08 14:10:49.801, 4, 0, 3, 97887
2026/07/08 14:10:49.818, 5, 0, 3, 97887
2026/07/08 14:10:49.833, 6, 0, 3, 97887
2026/07/08 14:10:49.846, 7, 0, 3, 97887
2026/07/08 14:10:50.864, 0, 0, 3, 97887
2026/07/08 14:10:50.880, 1, 0, 3, 97887
2026/07/08 14:10:50.895, 2, 0, 3, 97887
2026/07/08 14:10:50.909, 3, 0, 3, 97887
2026/07/08 14:10:50.922, 4, 0, 3, 97887
2026/07/08 14:10:50.933, 5, 0, 3, 97887
2026/07/08 14:10:50.945, 6, 0, 3, 97887
2026/07/08 14:10:50.955, 7, 0, 3, 97887
2026/07/08 14:10:51.966, 0, 0, 3, 97887
2026/07/08 14:10:51.985, 1, 0, 3, 97887
2026/07/08 14:10:52.003, 2, 0, 3, 97887
2026/07/08 14:10:52.020, 3, 0, 3, 97887
2026/07/08 14:10:52.038, 4, 0, 3, 97887
2026/07/08 14:10:52.056, 5, 0, 3, 97887
2026/07/08 14:10:52.072, 6, 0, 3, 97887
2026/07/08 14:10:52.090, 7, 0, 3, 97887
2026/07/08 14:10:53.104, 0, 0, 3, 97887
2026/07/08 14:10:53.116, 1, 0, 3, 97887
2026/07/08 14:10:53.128, 2, 0, 3, 97887
2026/07/08 14:10:53.139, 3, 0, 3, 97887
2026/07/08 14:10:53.151, 4, 0, 3, 97887
2026/07/08 14:10:53.163, 5, 0, 3, 97887
2026/07/08 14:10:53.174, 6, 0, 3, 97887
2026/07/08 14:10:53.185, 7, 0, 3, 97887
2026/07/08 14:10:54.197, 0, 0, 3, 97887
2026/07/08 14:10:54.213, 1, 0, 3, 97887
2026/07/08 14:10:54.225, 2, 0, 3, 97887
2026/07/08 14:10:54.242, 3, 0, 3, 97887
2026/07/08 14:10:54.261, 4, 0, 3, 97887
2026/07/08 14:10:54.278, 5, 0, 3, 97887
2026/07/08 14:10:54.293, 6, 0, 3, 97887
2026/07/08 14:10:54.311, 7, 0, 3, 97887
2026/07/08 14:10:55.328, 0, 0, 3, 97887
2026/07/08 14:10:55.345, 1, 0, 3, 97887
2026/07/08 14:10:55.359, 2, 0, 3, 97887
2026/07/08 14:10:55.374, 3, 0, 3, 97887
2026/07/08 14:10:55.389, 4, 0, 3, 97887
2026/07/08 14:10:55.403, 5, 0, 3, 97887
2026/07/08 14:10:55.417, 6, 0, 3, 97887
2026/07/08 14:10:55.431, 7, 0, 3, 97887
2026/07/08 14:10:56.443, 0, 0, 3, 97887
2026/07/08 14:10:56.460, 1, 0, 3, 97887
2026/07/08 14:10:56.475, 2, 0, 3, 97887
2026/07/08 14:10:56.490, 3, 0, 3, 97887
2026/07/08 14:10:56.505, 4, 0, 3, 97887
