timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 13:40:03.919, 0, 0, 0, 97887
2026/07/08 13:40:03.934, 1, 0, 0, 97887
2026/07/08 13:40:03.950, 2, 0, 0, 97887
2026/07/08 13:40:03.964, 3, 0, 0, 97887
2026/07/08 13:40:03.976, 4, 0, 0, 97887
2026/07/08 13:40:03.988, 5, 0, 0, 97887
2026/07/08 13:40:03.999, 6, 0, 0, 97887
2026/07/08 13:40:04.011, 7, 0, 0, 97887
2026/07/08 13:40:05.022, 0, 0, 0, 97887
2026/07/08 13:40:05.038, 1, 0, 0, 97887
2026/07/08 13:40:05.053, 2, 0, 0, 97887
2026/07/08 13:40:05.069, 3, 0, 0, 97887
2026/07/08 13:40:05.086, 4, 0, 0, 97887
2026/07/08 13:40:05.103, 5, 0, 0, 97887
2026/07/08 13:40:05.119, 6, 0, 0, 97887
2026/07/08 13:40:05.136, 7, 0, 0, 97887
2026/07/08 13:40:06.153, 0, 0, 0, 97887
2026/07/08 13:40:06.174, 1, 0, 0, 97887
2026/07/08 13:40:06.189, 2, 0, 0, 97887
2026/07/08 13:40:06.206, 3, 0, 0, 97887
2026/07/08 13:40:06.226, 4, 0, 0, 97887
2026/07/08 13:40:06.242, 5, 0, 0, 97887
2026/07/08 13:40:06.259, 6, 0, 0, 97887
2026/07/08 13:40:06.277, 7, 0, 0, 97887
2026/07/08 13:40:07.294, 0, 0, 0, 97887
2026/07/08 13:40:07.315, 1, 0, 0, 97887
2026/07/08 13:40:07.331, 2, 0, 0, 97887
2026/07/08 13:40:07.347, 3, 0, 0, 97887
2026/07/08 13:40:07.363, 4, 0, 0, 97887
2026/07/08 13:40:07.379, 5, 0, 0, 97887
2026/07/08 13:40:07.396, 6, 0, 0, 97887
2026/07/08 13:40:07.409, 7, 0, 0, 97887
2026/07/08 13:40:08.422, 0, 0, 0, 97887
2026/07/08 13:40:08.439, 1, 0, 0, 97887
2026/07/08 13:40:08.455, 2, 0, 0, 97887
2026/07/08 13:40:08.468, 3, 0, 0, 97887
2026/07/08 13:40:08.483, 4, 0, 0, 97887
2026/07/08 13:40:08.497, 5, 0, 0, 97887
2026/07/08 13:40:08.513, 6, 0, 0, 97887
2026/07/08 13:40:08.528, 7, 0, 0, 97887
2026/07/08 13:40:09.542, 0, 0, 0, 97887
2026/07/08 13:40:09.557, 1, 0, 0, 97887
2026/07/08 13:40:09.573, 2, 0, 0, 97887
2026/07/08 13:40:09.587, 3, 0, 0, 97887
2026/07/08 13:40:09.601, 4, 0, 0, 97887
2026/07/08 13:40:09.613, 5, 0, 0, 97887
2026/07/08 13:40:09.624, 6, 0, 0, 97887
2026/07/08 13:40:09.637, 7, 0, 0, 97887
2026/07/08 13:40:10.652, 0, 0, 0, 97887
2026/07/08 13:40:10.670, 1, 0, 0, 97887
2026/07/08 13:40:10.685, 2, 0, 0, 97887
2026/07/08 13:40:10.699, 3, 0, 0, 97887
2026/07/08 13:40:10.711, 4, 0, 0, 97887
2026/07/08 13:40:10.728, 5, 0, 0, 97887
2026/07/08 13:40:10.743, 6, 0, 0, 97887
2026/07/08 13:40:10.757, 7, 0, 0, 97887
2026/07/08 13:40:11.771, 0, 0, 1, 97887
2026/07/08 13:40:11.789, 1, 0, 1, 97887
2026/07/08 13:40:11.805, 2, 0, 1, 97887
2026/07/08 13:40:11.821, 3, 0, 1, 97887
2026/07/08 13:40:11.885, 4, 0, 1, 97887
2026/07/08 13:40:11.902, 5, 0, 1, 97887
2026/07/08 13:40:11.916, 6, 0, 1, 97887
2026/07/08 13:40:11.931, 7, 0, 1, 97887
2026/07/08 13:40:12.955, 0, 0, 3, 97887
2026/07/08 13:40:12.973, 1, 0, 3, 97887
2026/07/08 13:40:12.988, 2, 0, 3, 97887
2026/07/08 13:40:13.004, 3, 0, 3, 97887
2026/07/08 13:40:13.017, 4, 0, 3, 97887
2026/07/08 13:40:13.031, 5, 0, 3, 97887
2026/07/08 13:40:13.047, 6, 0, 3, 97887
2026/07/08 13:40:13.060, 7, 0, 3, 97887
2026/07/08 13:40:14.076, 0, 0, 3, 97887
