timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 12:21:22.740, 0, 0, 0, 97887
2026/07/08 12:21:22.759, 1, 0, 0, 97887
2026/07/08 12:21:22.778, 2, 0, 0, 97887
2026/07/08 12:21:22.795, 3, 0, 0, 97887
2026/07/08 12:21:22.812, 4, 0, 0, 97887
2026/07/08 12:21:22.828, 5, 0, 0, 97887
2026/07/08 12:21:22.845, 6, 0, 0, 97887
2026/07/08 12:21:22.863, 7, 0, 0, 97887
2026/07/08 12:21:23.882, 0, 0, 0, 97887
2026/07/08 12:21:23.898, 1, 0, 0, 97887
2026/07/08 12:21:23.914, 2, 0, 0, 97887
2026/07/08 12:21:23.931, 3, 0, 0, 97887
2026/07/08 12:21:23.946, 4, 0, 0, 97887
2026/07/08 12:21:23.961, 5, 0, 0, 97887
2026/07/08 12:21:23.977, 6, 0, 0, 97887
2026/07/08 12:21:23.992, 7, 0, 0, 97887
2026/07/08 12:21:25.008, 0, 0, 0, 97887
2026/07/08 12:21:25.025, 1, 0, 0, 97887
2026/07/08 12:21:25.041, 2, 0, 0, 97887
2026/07/08 12:21:25.057, 3, 0, 0, 97887
2026/07/08 12:21:25.074, 4, 0, 0, 97887
2026/07/08 12:21:25.091, 5, 0, 0, 97887
2026/07/08 12:21:25.109, 6, 0, 0, 97887
2026/07/08 12:21:25.126, 7, 0, 0, 97887
2026/07/08 12:21:26.141, 0, 0, 0, 97887
2026/07/08 12:21:26.156, 1, 0, 0, 97887
2026/07/08 12:21:26.168, 2, 0, 0, 97887
2026/07/08 12:21:26.181, 3, 0, 0, 97887
2026/07/08 12:21:26.198, 4, 0, 0, 97887
2026/07/08 12:21:26.210, 5, 0, 0, 97887
2026/07/08 12:21:26.221, 6, 0, 0, 97887
2026/07/08 12:21:26.232, 7, 0, 0, 97887
2026/07/08 12:21:27.242, 0, 0, 0, 97887
2026/07/08 12:21:27.263, 1, 0, 0, 97887
2026/07/08 12:21:27.281, 2, 0, 0, 97887
2026/07/08 12:21:27.301, 3, 0, 0, 97887
2026/07/08 12:21:27.320, 4, 0, 0, 97887
2026/07/08 12:21:27.339, 5, 0, 0, 97887
2026/07/08 12:21:27.358, 6, 0, 0, 97887
2026/07/08 12:21:27.375, 7, 0, 0, 97887
2026/07/08 12:21:28.394, 0, 0, 0, 97887
2026/07/08 12:21:28.411, 1, 0, 0, 97887
2026/07/08 12:21:28.429, 2, 0, 0, 97887
2026/07/08 12:21:28.441, 3, 0, 0, 97887
2026/07/08 12:21:28.456, 4, 0, 0, 97887
2026/07/08 12:21:28.470, 5, 0, 0, 97887
2026/07/08 12:21:28.483, 6, 0, 0, 97887
2026/07/08 12:21:28.498, 7, 0, 0, 97887
2026/07/08 12:21:29.515, 0, 0, 0, 97887
2026/07/08 12:21:29.534, 1, 0, 0, 97887
2026/07/08 12:21:29.552, 2, 0, 0, 97887
2026/07/08 12:21:29.568, 3, 0, 0, 97887
2026/07/08 12:21:29.583, 4, 0, 0, 97887
2026/07/08 12:21:29.598, 5, 0, 0, 97887
2026/07/08 12:21:29.613, 6, 0, 0, 97887
2026/07/08 12:21:29.629, 7, 0, 0, 97887
2026/07/08 12:21:30.644, 0, 0, 0, 97887
2026/07/08 12:21:30.665, 1, 0, 0, 97887
2026/07/08 12:21:30.684, 2, 0, 0, 97887
2026/07/08 12:21:30.700, 3, 0, 0, 97887
2026/07/08 12:21:30.717, 4, 0, 0, 97887
2026/07/08 12:21:30.737, 5, 0, 0, 97887
2026/07/08 12:21:30.756, 6, 0, 0, 97887
2026/07/08 12:21:30.774, 7, 0, 0, 97887
2026/07/08 12:21:31.793, 0, 0, 3, 97887
2026/07/08 12:21:31.812, 1, 0, 3, 97887
2026/07/08 12:21:31.829, 2, 0, 3, 97887
