timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 13:16:22.290, 0, 0, 0, 97887
2026/07/08 13:16:22.305, 1, 0, 0, 97887
2026/07/08 13:16:22.321, 2, 0, 0, 97887
2026/07/08 13:16:22.335, 3, 0, 0, 97887
2026/07/08 13:16:22.350, 4, 0, 0, 97887
2026/07/08 13:16:22.367, 5, 0, 0, 97887
2026/07/08 13:16:22.383, 6, 0, 0, 97887
2026/07/08 13:16:22.399, 7, 0, 0, 97887
2026/07/08 13:16:23.415, 0, 0, 0, 97887
2026/07/08 13:16:23.431, 1, 0, 0, 97887
2026/07/08 13:16:23.447, 2, 0, 0, 97887
2026/07/08 13:16:23.463, 3, 0, 0, 97887
2026/07/08 13:16:23.479, 4, 0, 0, 97887
2026/07/08 13:16:23.494, 5, 0, 0, 97887
2026/07/08 13:16:23.511, 6, 0, 0, 97887
2026/07/08 13:16:23.527, 7, 0, 0, 97887
2026/07/08 13:16:24.543, 0, 0, 0, 97887
2026/07/08 13:16:24.560, 1, 0, 0, 97887
2026/07/08 13:16:24.583, 2, 0, 0, 97887
2026/07/08 13:16:24.602, 3, 0, 0, 97887
2026/07/08 13:16:24.619, 4, 0, 0, 97887
2026/07/08 13:16:24.636, 5, 0, 0, 97887
2026/07/08 13:16:24.651, 6, 0, 0, 97887
2026/07/08 13:16:24.664, 7, 0, 0, 97887
2026/07/08 13:16:25.677, 0, 0, 0, 97887
2026/07/08 13:16:25.689, 1, 0, 0, 97887
2026/07/08 13:16:25.702, 2, 0, 0, 97887
2026/07/08 13:16:25.713, 3, 0, 0, 97887
2026/07/08 13:16:25.728, 4, 0, 0, 97887
2026/07/08 13:16:25.743, 5, 0, 0, 97887
2026/07/08 13:16:25.756, 6, 0, 0, 97887
2026/07/08 13:16:25.773, 7, 0, 0, 97887
2026/07/08 13:16:26.793, 0, 0, 0, 97887
2026/07/08 13:16:26.811, 1, 0, 0, 97887
2026/07/08 13:16:26.826, 2, 0, 0, 97887
2026/07/08 13:16:26.841, 3, 0, 0, 97887
2026/07/08 13:16:26.860, 4, 0, 0, 97887
2026/07/08 13:16:26.880, 5, 0, 0, 97887
2026/07/08 13:16:26.900, 6, 0, 0, 97887
2026/07/08 13:16:26.915, 7, 0, 0, 97887
2026/07/08 13:16:27.933, 0, 0, 0, 97887
2026/07/08 13:16:27.952, 1, 0, 0, 97887
2026/07/08 13:16:27.968, 2, 0, 0, 97887
2026/07/08 13:16:27.985, 3, 0, 0, 97887
2026/07/08 13:16:28.000, 4, 0, 0, 97887
2026/07/08 13:16:28.016, 5, 0, 0, 97887
2026/07/08 13:16:28.031, 6, 0, 0, 97887
2026/07/08 13:16:28.046, 7, 0, 0, 97887
2026/07/08 13:16:29.062, 0, 0, 0, 97887
2026/07/08 13:16:29.077, 1, 0, 0, 97887
2026/07/08 13:16:29.092, 2, 0, 0, 97887
2026/07/08 13:16:29.104, 3, 0, 0, 97887
2026/07/08 13:16:29.122, 4, 0, 0, 97887
2026/07/08 13:16:29.141, 5, 0, 0, 97887
2026/07/08 13:16:29.158, 6, 0, 0, 97887
2026/07/08 13:16:29.174, 7, 0, 0, 97887
2026/07/08 13:16:30.188, 0, 0, 0, 97887
2026/07/08 13:16:30.206, 1, 0, 0, 97887
2026/07/08 13:16:30.221, 2, 0, 0, 97887
2026/07/08 13:16:30.240, 3, 0, 0, 97887
2026/07/08 13:16:30.260, 4, 0, 1, 97887
2026/07/08 13:16:30.277, 5, 0, 1, 97887
2026/07/08 13:16:30.295, 6, 0, 1, 97887
2026/07/08 13:16:30.313, 7, 0, 1, 97887
2026/07/08 13:16:31.333, 0, 0, 3, 97887
2026/07/08 13:16:31.349, 1, 0, 3, 97887
2026/07/08 13:16:31.364, 2, 0, 3, 97887
2026/07/08 13:16:31.379, 3, 0, 3, 97887
2026/07/08 13:16:31.394, 4, 0, 3, 97887
2026/07/08 13:16:31.408, 5, 0, 3, 97887
2026/07/08 13:16:31.423, 6, 0, 3, 97887
2026/07/08 13:16:31.437, 7, 0, 3, 97887
2026/07/08 13:16:32.453, 0, 0, 3, 97887
2026/07/08 13:16:32.472, 1, 0, 3, 97887
2026/07/08 13:16:32.487, 2, 0, 3, 97887
2026/07/08 13:16:32.504, 3, 0, 3, 97887
2026/07/08 13:16:32.517, 4, 0, 3, 97887
2026/07/08 13:16:32.528, 5, 0, 3, 97887
2026/07/08 13:16:32.538, 6, 0, 3, 97887
2026/07/08 13:16:32.548, 7, 0, 3, 97887
2026/07/08 13:16:33.560, 0, 0, 3, 97887
2026/07/08 13:16:33.580, 1, 0, 3, 97887
2026/07/08 13:16:33.597, 2, 0, 3, 97887
2026/07/08 13:16:33.615, 3, 0, 3, 97887
2026/07/08 13:16:33.633, 4, 0, 3, 97887
2026/07/08 13:16:33.651, 5, 0, 3, 97887
2026/07/08 13:16:33.670, 6, 0, 3, 97887
2026/07/08 13:16:33.687, 7, 0, 3, 97887
2026/07/08 13:16:34.703, 0, 0, 3, 97887
2026/07/08 13:16:34.723, 1, 0, 3, 97887
2026/07/08 13:16:34.741, 2, 0, 3, 97887
2026/07/08 13:16:34.758, 3, 0, 3, 97887
2026/07/08 13:16:34.774, 4, 0, 3, 97887
2026/07/08 13:16:34.792, 5, 0, 3, 97887
2026/07/08 13:16:34.810, 6, 0, 3, 97887
2026/07/08 13:16:34.828, 7, 0, 3, 97887
2026/07/08 13:16:35.847, 0, 0, 3, 97887
2026/07/08 13:16:35.865, 1, 0, 3, 97887
2026/07/08 13:16:35.883, 2, 0, 3, 97887
2026/07/08 13:16:35.896, 3, 0, 3, 97887
2026/07/08 13:16:35.913, 4, 0, 3, 97887
2026/07/08 13:16:35.929, 5, 0, 3, 97887
2026/07/08 13:16:35.945, 6, 0, 3, 97887
2026/07/08 13:16:35.960, 7, 0, 3, 97887
2026/07/08 13:16:36.977, 0, 0, 3, 97887
2026/07/08 13:16:36.995, 1, 0, 3, 97887
2026/07/08 13:16:37.010, 2, 0, 3, 97887
2026/07/08 13:16:37.025, 3, 0, 3, 97887
2026/07/08 13:16:37.039, 4, 0, 3, 97887
2026/07/08 13:16:37.054, 5, 0, 3, 97887
2026/07/08 13:16:37.070, 6, 0, 3, 97887
2026/07/08 13:16:37.084, 7, 0, 3, 97887
2026/07/08 13:16:38.099, 0, 0, 3, 97887
2026/07/08 13:16:38.116, 1, 0, 3, 97887
2026/07/08 13:16:38.131, 2, 0, 3, 97887
2026/07/08 13:16:38.147, 3, 0, 3, 97887
2026/07/08 13:16:38.160, 4, 0, 3, 97887
2026/07/08 13:16:38.174, 5, 0, 3, 97887
2026/07/08 13:16:38.186, 6, 0, 3, 97887
2026/07/08 13:16:38.199, 7, 0, 3, 97887
2026/07/08 13:16:39.211, 0, 0, 3, 97887
2026/07/08 13:16:39.227, 1, 0, 3, 97887
2026/07/08 13:16:39.243, 2, 0, 3, 97887
2026/07/08 13:16:39.256, 3, 0, 3, 97887
2026/07/08 13:16:39.271, 4, 0, 3, 97887
2026/07/08 13:16:39.286, 5, 0, 3, 97887
2026/07/08 13:16:39.304, 6, 0, 3, 97887
2026/07/08 13:16:39.323, 7, 0, 3, 97887
2026/07/08 13:16:40.338, 0, 0, 3, 97887
2026/07/08 13:16:40.355, 1, 0, 3, 97887
2026/07/08 13:16:40.373, 2, 0, 3, 97887
2026/07/08 13:16:40.388, 3, 0, 3, 97887
2026/07/08 13:16:40.404, 4, 0, 3, 97887
2026/07/08 13:16:40.419, 5, 0, 3, 97887
2026/07/08 13:16:40.432, 6, 0, 3, 97887
2026/07/08 13:16:40.449, 7, 0, 3, 97887
2026/07/08 13:16:41.464, 0, 0, 3, 97887
2026/07/08 13:16:41.484, 1, 0, 3, 97887
2026/07/08 13:16:41.502, 2, 0, 3, 97887
2026/07/08 13:16:41.520, 3, 0, 3, 97887
2026/07/08 13:16:41.537, 4, 0, 3, 97887
2026/07/08 13:16:41.552, 5, 0, 3, 97887
2026/07/08 13:16:41.568, 6, 0, 3, 97887
2026/07/08 13:16:41.586, 7, 0, 3, 97887
2026/07/08 13:16:42.606, 0, 0, 3, 97887
2026/07/08 13:16:42.624, 1, 0, 3, 97887
2026/07/08 13:16:42.642, 2, 0, 3, 97887
2026/07/08 13:16:42.660, 3, 0, 3, 97887
2026/07/08 13:16:42.680, 4, 0, 3, 97887
2026/07/08 13:16:42.700, 5, 0, 3, 97887
2026/07/08 13:16:42.718, 6, 0, 3, 97887
2026/07/08 13:16:42.736, 7, 0, 3, 97887
2026/07/08 13:16:43.755, 0, 0, 3, 97887
2026/07/08 13:16:43.773, 1, 0, 3, 97887
2026/07/08 13:16:43.791, 2, 0, 3, 97887
2026/07/08 13:16:43.809, 3, 0, 3, 97887
2026/07/08 13:16:43.825, 4, 0, 3, 97887
2026/07/08 13:16:43.842, 5, 0, 3, 97887
2026/07/08 13:16:43.859, 6, 0, 3, 97887
2026/07/08 13:16:43.875, 7, 0, 3, 97887
2026/07/08 13:16:44.891, 0, 0, 3, 97887
2026/07/08 13:16:44.910, 1, 0, 3, 97887
2026/07/08 13:16:44.927, 2, 0, 3, 97887
2026/07/08 13:16:44.940, 3, 0, 3, 97887
2026/07/08 13:16:44.955, 4, 0, 3, 97887
2026/07/08 13:16:44.969, 5, 0, 3, 97887
2026/07/08 13:16:44.983, 6, 0, 3, 97887
2026/07/08 13:16:45.000, 7, 0, 3, 97887
2026/07/08 13:16:46.013, 0, 0, 3, 97887
2026/07/08 13:16:46.031, 1, 0, 3, 97887
2026/07/08 13:16:46.048, 2, 0, 3, 97887
2026/07/08 13:16:46.064, 3, 0, 3, 97887
2026/07/08 13:16:46.082, 4, 0, 3, 97887
2026/07/08 13:16:46.100, 5, 0, 3, 97887
2026/07/08 13:16:46.120, 6, 0, 3, 97887
2026/07/08 13:16:46.134, 7, 0, 3, 97887
2026/07/08 13:16:47.156, 0, 0, 3, 97887
2026/07/08 13:16:47.177, 1, 0, 3, 97887
2026/07/08 13:16:47.189, 2, 0, 3, 97887
2026/07/08 13:16:47.203, 3, 0, 3, 97887
2026/07/08 13:16:47.215, 4, 0, 3, 97887
2026/07/08 13:16:47.236, 5, 0, 3, 97887
2026/07/08 13:16:47.251, 6, 0, 3, 97887
2026/07/08 13:16:47.268, 7, 0, 3, 97887
2026/07/08 13:16:48.287, 0, 0, 3, 97887
2026/07/08 13:16:48.305, 1, 0, 3, 97887
2026/07/08 13:16:48.322, 2, 0, 3, 97887
2026/07/08 13:16:48.335, 3, 0, 3, 97887
2026/07/08 13:16:48.348, 4, 0, 3, 97887
2026/07/08 13:16:48.359, 5, 0, 3, 97887
2026/07/08 13:16:48.374, 6, 0, 3, 97887
2026/07/08 13:16:48.391, 7, 0, 3, 97887
2026/07/08 13:16:49.410, 0, 0, 3, 97887
2026/07/08 13:16:49.429, 1, 0, 3, 97887
2026/07/08 13:16:49.445, 2, 0, 3, 97887
2026/07/08 13:16:49.461, 3, 0, 3, 97887
2026/07/08 13:16:49.477, 4, 0, 3, 97887
2026/07/08 13:16:49.493, 5, 0, 3, 97887
2026/07/08 13:16:49.509, 6, 0, 3, 97887
2026/07/08 13:16:49.526, 7, 0, 3, 97887
2026/07/08 13:16:50.541, 0, 0, 3, 97887
2026/07/08 13:16:50.560, 1, 0, 3, 97887
2026/07/08 13:16:50.577, 2, 0, 3, 97887
2026/07/08 13:16:50.597, 3, 0, 3, 97887
2026/07/08 13:16:50.613, 4, 0, 3, 97887
2026/07/08 13:16:50.629, 5, 0, 3, 97887
2026/07/08 13:16:50.644, 6, 0, 3, 97887
2026/07/08 13:16:50.659, 7, 0, 3, 97887
2026/07/08 13:16:51.673, 0, 0, 3, 97887
2026/07/08 13:16:51.689, 1, 0, 3, 97887
2026/07/08 13:16:51.704, 2, 0, 3, 97887
2026/07/08 13:16:51.719, 3, 0, 3, 97887
2026/07/08 13:16:51.736, 4, 0, 3, 97887
2026/07/08 13:16:51.749, 5, 0, 3, 97887
2026/07/08 13:16:51.763, 6, 0, 3, 97887
2026/07/08 13:16:51.777, 7, 0, 3, 97887
2026/07/08 13:16:52.792, 0, 0, 3, 97887
2026/07/08 13:16:52.810, 1, 0, 3, 97887
2026/07/08 13:16:52.827, 2, 0, 3, 97887
2026/07/08 13:16:52.844, 3, 0, 3, 97887
2026/07/08 13:16:52.859, 4, 0, 3, 97887
2026/07/08 13:16:52.874, 5, 0, 3, 97887
2026/07/08 13:16:52.890, 6, 0, 3, 97887
2026/07/08 13:16:52.905, 7, 0, 3, 97887
2026/07/08 13:16:53.922, 0, 0, 3, 97887
2026/07/08 13:16:53.941, 1, 0, 3, 97887
2026/07/08 13:16:53.958, 2, 0, 3, 97887
2026/07/08 13:16:53.976, 3, 0, 3, 97887
2026/07/08 13:16:53.993, 4, 0, 3, 97887
2026/07/08 13:16:54.009, 5, 0, 3, 97887
2026/07/08 13:16:54.023, 6, 0, 3, 97887
2026/07/08 13:16:54.041, 7, 0, 3, 97887
2026/07/08 13:16:55.060, 0, 0, 3, 97887
2026/07/08 13:16:55.077, 1, 0, 3, 97887
2026/07/08 13:16:55.090, 2, 0, 3, 97887
2026/07/08 13:16:55.105, 3, 0, 3, 97887
2026/07/08 13:16:55.120, 4, 0, 3, 97887
2026/07/08 13:16:55.138, 5, 0, 3, 97887
2026/07/08 13:16:55.153, 6, 0, 3, 97887
2026/07/08 13:16:55.169, 7, 0, 3, 97887
2026/07/08 13:16:56.185, 0, 0, 3, 97887
2026/07/08 13:16:56.202, 1, 0, 3, 97887
2026/07/08 13:16:56.220, 2, 0, 3, 97887
2026/07/08 13:16:56.238, 3, 0, 3, 97887
2026/07/08 13:16:56.255, 4, 0, 3, 97887
2026/07/08 13:16:56.272, 5, 0, 3, 97887
2026/07/08 13:16:56.290, 6, 0, 3, 97887
2026/07/08 13:16:56.304, 7, 0, 3, 97887
2026/07/08 13:16:57.316, 0, 0, 3, 97887
2026/07/08 13:16:57.334, 1, 0, 3, 97887
2026/07/08 13:16:57.352, 2, 0, 3, 97887
2026/07/08 13:16:57.370, 3, 0, 3, 97887
2026/07/08 13:16:57.388, 4, 0, 3, 97887
2026/07/08 13:16:57.407, 5, 0, 3, 97887
2026/07/08 13:16:57.423, 6, 0, 3, 97887
2026/07/08 13:16:57.441, 7, 0, 3, 97887
2026/07/08 13:16:58.459, 0, 0, 22, 97887
2026/07/08 13:16:58.499, 1, 0, 3, 97887
2026/07/08 13:16:58.520, 2, 0, 3, 97887
2026/07/08 13:16:58.579, 3, 0, 3, 97887
2026/07/08 13:16:58.600, 4, 0, 3, 97887
2026/07/08 13:16:58.619, 5, 0, 3, 97887
2026/07/08 13:16:58.638, 6, 0, 3, 97887
2026/07/08 13:16:58.655, 7, 0, 3, 97887
2026/07/08 13:16:59.675, 0, 0, 562, 97887
2026/07/08 13:16:59.693, 1, 0, 3, 97887
2026/07/08 13:16:59.711, 2, 0, 3, 97887
2026/07/08 13:16:59.728, 3, 0, 3, 97887
2026/07/08 13:16:59.746, 4, 0, 3, 97887
2026/07/08 13:16:59.762, 5, 0, 3, 97887
2026/07/08 13:16:59.776, 6, 0, 3, 97887
2026/07/08 13:16:59.790, 7, 0, 3, 97887
2026/07/08 13:17:00.805, 0, 0, 562, 97887
2026/07/08 13:17:00.826, 1, 0, 3, 97887
2026/07/08 13:17:00.849, 2, 0, 3, 97887
2026/07/08 13:17:00.868, 3, 0, 3, 97887
2026/07/08 13:17:00.888, 4, 0, 3, 97887
2026/07/08 13:17:00.906, 5, 0, 3, 97887
2026/07/08 13:17:00.925, 6, 0, 3, 97887
2026/07/08 13:17:00.945, 7, 0, 3, 97887
2026/07/08 13:17:01.963, 0, 0, 562, 97887
2026/07/08 13:17:01.983, 1, 0, 3, 97887
2026/07/08 13:17:02.001, 2, 0, 3, 97887
2026/07/08 13:17:02.020, 3, 0, 3, 97887
2026/07/08 13:17:02.038, 4, 0, 3, 97887
2026/07/08 13:17:02.059, 5, 0, 3, 97887
2026/07/08 13:17:02.076, 6, 0, 3, 97887
2026/07/08 13:17:02.095, 7, 0, 3, 97887
2026/07/08 13:17:03.114, 0, 0, 562, 97887
2026/07/08 13:17:03.135, 1, 0, 3, 97887
2026/07/08 13:17:03.155, 2, 0, 3, 97887
2026/07/08 13:17:03.174, 3, 0, 3, 97887
2026/07/08 13:17:03.194, 4, 0, 3, 97887
2026/07/08 13:17:03.215, 5, 0, 3, 97887
2026/07/08 13:17:03.230, 6, 0, 3, 97887
2026/07/08 13:17:03.245, 7, 0, 3, 97887
2026/07/08 13:17:04.263, 0, 0, 562, 97887
2026/07/08 13:17:04.282, 1, 0, 3, 97887
2026/07/08 13:17:04.300, 2, 0, 3, 97887
2026/07/08 13:17:04.319, 3, 0, 3, 97887
2026/07/08 13:17:04.336, 4, 0, 3, 97887
2026/07/08 13:17:04.354, 5, 0, 3, 97887
2026/07/08 13:17:04.373, 6, 0, 3, 97887
2026/07/08 13:17:04.391, 7, 0, 3, 97887
2026/07/08 13:17:05.409, 0, 0, 562, 97887
2026/07/08 13:17:05.433, 1, 0, 3, 97887
2026/07/08 13:17:05.453, 2, 0, 3, 97887
2026/07/08 13:17:05.473, 3, 0, 3, 97887
2026/07/08 13:17:05.493, 4, 0, 3, 97887
2026/07/08 13:17:05.511, 5, 0, 3, 97887
2026/07/08 13:17:05.529, 6, 0, 3, 97887
2026/07/08 13:17:05.547, 7, 0, 3, 97887
2026/07/08 13:17:06.567, 0, 0, 562, 97887
2026/07/08 13:17:06.586, 1, 0, 3, 97887
2026/07/08 13:17:06.605, 2, 0, 3, 97887
2026/07/08 13:17:06.626, 3, 0, 3, 97887
2026/07/08 13:17:06.646, 4, 0, 3, 97887
2026/07/08 13:17:06.664, 5, 0, 3, 97887
2026/07/08 13:17:06.684, 6, 0, 3, 97887
2026/07/08 13:17:06.702, 7, 0, 3, 97887
2026/07/08 13:17:07.721, 0, 0, 562, 97887
2026/07/08 13:17:07.738, 1, 0, 3, 97887
2026/07/08 13:17:07.752, 2, 0, 3, 97887
2026/07/08 13:17:07.766, 3, 0, 3, 97887
2026/07/08 13:17:07.781, 4, 0, 3, 97887
2026/07/08 13:17:07.798, 5, 0, 3, 97887
2026/07/08 13:17:07.813, 6, 0, 3, 97887
2026/07/08 13:17:07.829, 7, 0, 3, 97887
2026/07/08 13:17:08.844, 0, 0, 562, 97887
2026/07/08 13:17:08.865, 1, 0, 3, 97887
2026/07/08 13:17:08.885, 2, 0, 3, 97887
2026/07/08 13:17:08.904, 3, 0, 3, 97887
2026/07/08 13:17:08.924, 4, 0, 3, 97887
2026/07/08 13:17:08.944, 5, 0, 3, 97887
2026/07/08 13:17:08.963, 6, 0, 3, 97887
2026/07/08 13:17:08.983, 7, 0, 3, 97887
2026/07/08 13:17:10.003, 0, 0, 562, 97887
2026/07/08 13:17:10.024, 1, 0, 3, 97887
2026/07/08 13:17:10.042, 2, 0, 3, 97887
2026/07/08 13:17:10.062, 3, 0, 3, 97887
2026/07/08 13:17:10.080, 4, 0, 3, 97887
2026/07/08 13:17:10.101, 5, 0, 3, 97887
2026/07/08 13:17:10.119, 6, 0, 3, 97887
2026/07/08 13:17:10.138, 7, 0, 3, 97887
2026/07/08 13:17:11.157, 0, 0, 562, 97887
2026/07/08 13:17:11.175, 1, 0, 3, 97887
2026/07/08 13:17:11.194, 2, 0, 3, 97887
2026/07/08 13:17:11.212, 3, 0, 3, 97887
2026/07/08 13:17:11.230, 4, 0, 3, 97887
2026/07/08 13:17:11.247, 5, 0, 3, 97887
2026/07/08 13:17:11.265, 6, 0, 3, 97887
2026/07/08 13:17:11.285, 7, 0, 3, 97887
2026/07/08 13:17:12.306, 0, 0, 562, 97887
2026/07/08 13:17:12.331, 1, 0, 3, 97887
2026/07/08 13:17:12.352, 2, 0, 3, 97887
2026/07/08 13:17:12.371, 3, 0, 3, 97887
2026/07/08 13:17:12.390, 4, 0, 3, 97887
2026/07/08 13:17:12.408, 5, 0, 3, 97887
2026/07/08 13:17:12.428, 6, 0, 3, 97887
2026/07/08 13:17:12.445, 7, 0, 3, 97887
2026/07/08 13:17:13.463, 0, 0, 562, 97887
2026/07/08 13:17:13.482, 1, 0, 4, 97887
2026/07/08 13:17:13.503, 2, 0, 4, 97887
2026/07/08 13:17:13.519, 3, 0, 4, 97887
2026/07/08 13:17:13.537, 4, 0, 4, 97887
2026/07/08 13:17:13.554, 5, 0, 4, 97887
2026/07/08 13:17:13.570, 6, 0, 4, 97887
2026/07/08 13:17:13.590, 7, 0, 4, 97887
2026/07/08 13:17:14.608, 0, 0, 562, 97887
2026/07/08 13:17:14.688, 1, 0, 24, 97887
2026/07/08 13:17:14.708, 2, 0, 4, 97887
2026/07/08 13:17:14.730, 3, 0, 30, 97887
2026/07/08 13:17:14.753, 4, 0, 4, 97887
2026/07/08 13:17:14.773, 5, 0, 4, 97887
2026/07/08 13:17:14.797, 6, 0, 4, 97887
2026/07/08 13:17:14.816, 7, 0, 4, 97887
2026/07/08 13:17:15.833, 0, 0, 562, 97887
2026/07/08 13:17:15.853, 1, 0, 562, 97887
2026/07/08 13:17:15.872, 2, 0, 562, 97887
2026/07/08 13:17:15.890, 3, 0, 562, 97887
2026/07/08 13:17:15.910, 4, 0, 4, 97887
2026/07/08 13:17:15.930, 5, 0, 4, 97887
2026/07/08 13:17:15.950, 6, 0, 4, 97887
2026/07/08 13:17:15.968, 7, 0, 4, 97887
2026/07/08 13:17:16.987, 0, 0, 562, 97887
2026/07/08 13:17:17.006, 1, 0, 562, 97887
2026/07/08 13:17:17.021, 2, 0, 562, 97887
2026/07/08 13:17:17.039, 3, 0, 562, 97887
2026/07/08 13:17:17.056, 4, 0, 4, 97887
2026/07/08 13:17:17.075, 5, 0, 4, 97887
2026/07/08 13:17:17.089, 6, 0, 4, 97887
2026/07/08 13:17:17.107, 7, 0, 4, 97887
2026/07/08 13:17:18.123, 0, 0, 562, 97887
2026/07/08 13:17:18.142, 1, 0, 562, 97887
