timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 14:17:52.173, 0, 0, 0, 97887
2026/07/08 14:17:52.187, 1, 0, 0, 97887
2026/07/08 14:17:52.205, 2, 0, 0, 97887
2026/07/08 14:17:52.221, 3, 0, 0, 97887
2026/07/08 14:17:52.238, 4, 0, 0, 97887
2026/07/08 14:17:52.255, 5, 0, 0, 97887
2026/07/08 14:17:52.272, 6, 0, 0, 97887
2026/07/08 14:17:52.291, 7, 0, 0, 97887
2026/07/08 14:17:53.309, 0, 0, 0, 97887
2026/07/08 14:17:53.327, 1, 0, 0, 97887
2026/07/08 14:17:53.343, 2, 0, 0, 97887
2026/07/08 14:17:53.360, 3, 0, 0, 97887
2026/07/08 14:17:53.374, 4, 0, 0, 97887
2026/07/08 14:17:53.390, 5, 0, 0, 97887
2026/07/08 14:17:53.407, 6, 0, 0, 97887
2026/07/08 14:17:53.423, 7, 0, 0, 97887
2026/07/08 14:17:54.437, 0, 0, 0, 97887
2026/07/08 14:17:54.456, 1, 0, 0, 97887
2026/07/08 14:17:54.473, 2, 0, 0, 97887
2026/07/08 14:17:54.491, 3, 0, 0, 97887
2026/07/08 14:17:54.508, 4, 0, 0, 97887
2026/07/08 14:17:54.525, 5, 0, 0, 97887
2026/07/08 14:17:54.541, 6, 0, 0, 97887
2026/07/08 14:17:54.559, 7, 0, 0, 97887
2026/07/08 14:17:55.577, 0, 0, 0, 97887
2026/07/08 14:17:55.597, 1, 0, 0, 97887
2026/07/08 14:17:55.612, 2, 0, 0, 97887
2026/07/08 14:17:55.627, 3, 0, 0, 97887
2026/07/08 14:17:55.638, 4, 0, 0, 97887
2026/07/08 14:17:55.653, 5, 0, 0, 97887
2026/07/08 14:17:55.669, 6, 0, 0, 97887
2026/07/08 14:17:55.684, 7, 0, 0, 97887
2026/07/08 14:17:56.700, 0, 0, 0, 97887
2026/07/08 14:17:56.717, 1, 0, 0, 97887
2026/07/08 14:17:56.730, 2, 0, 0, 97887
2026/07/08 14:17:56.746, 3, 0, 0, 97887
2026/07/08 14:17:56.762, 4, 0, 0, 97887
2026/07/08 14:17:56.779, 5, 0, 0, 97887
2026/07/08 14:17:56.796, 6, 0, 0, 97887
2026/07/08 14:17:56.812, 7, 0, 0, 97887
2026/07/08 14:17:57.828, 0, 0, 0, 97887
2026/07/08 14:17:57.843, 1, 0, 0, 97887
2026/07/08 14:17:57.858, 2, 0, 0, 97887
2026/07/08 14:17:57.875, 3, 0, 0, 97887
2026/07/08 14:17:57.892, 4, 0, 0, 97887
2026/07/08 14:17:57.908, 5, 0, 0, 97887
2026/07/08 14:17:57.925, 6, 0, 0, 97887
2026/07/08 14:17:57.941, 7, 0, 0, 97887
2026/07/08 14:17:58.957, 0, 0, 0, 97887
2026/07/08 14:17:58.972, 1, 0, 0, 97887
2026/07/08 14:17:58.988, 2, 0, 0, 97887
2026/07/08 14:17:59.002, 3, 0, 0, 97887
2026/07/08 14:17:59.016, 4, 0, 0, 97887
2026/07/08 14:17:59.031, 5, 0, 0, 97887
2026/07/08 14:17:59.046, 6, 0, 0, 97887
2026/07/08 14:17:59.063, 7, 0, 0, 97887
2026/07/08 14:18:00.080, 0, 0, 0, 97887
2026/07/08 14:18:00.101, 1, 0, 1, 97887
2026/07/08 14:18:00.117, 2, 0, 1, 97887
2026/07/08 14:18:00.136, 3, 0, 1, 97887
2026/07/08 14:18:00.154, 4, 0, 1, 97887
2026/07/08 14:18:00.204, 5, 0, 1, 97887
2026/07/08 14:18:00.219, 6, 0, 1, 97887
2026/07/08 14:18:00.235, 7, 0, 1, 97887
2026/07/08 14:18:01.252, 0, 0, 3, 97887
2026/07/08 14:18:01.268, 1, 0, 3, 97887
2026/07/08 14:18:01.284, 2, 0, 3, 97887
2026/07/08 14:18:01.300, 3, 0, 3, 97887
