timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 12:39:31.170, 0, 0, 0, 97887
2026/07/08 12:39:31.182, 1, 0, 0, 97887
2026/07/08 12:39:31.194, 2, 0, 0, 97887
2026/07/08 12:39:31.205, 3, 0, 0, 97887
2026/07/08 12:39:31.216, 4, 0, 0, 97887
2026/07/08 12:39:31.226, 5, 0, 0, 97887
2026/07/08 12:39:31.235, 6, 0, 0, 97887
2026/07/08 12:39:31.246, 7, 0, 0, 97887
2026/07/08 12:39:32.258, 0, 0, 0, 97887
2026/07/08 12:39:32.272, 1, 0, 0, 97887
2026/07/08 12:39:32.284, 2, 0, 0, 97887
2026/07/08 12:39:32.299, 3, 0, 0, 97887
2026/07/08 12:39:32.315, 4, 0, 0, 97887
2026/07/08 12:39:32.333, 5, 0, 0, 97887
2026/07/08 12:39:32.351, 6, 0, 0, 97887
2026/07/08 12:39:32.370, 7, 0, 0, 97887
2026/07/08 12:39:33.388, 0, 0, 0, 97887
2026/07/08 12:39:33.410, 1, 0, 0, 97887
2026/07/08 12:39:33.428, 2, 0, 0, 97887
2026/07/08 12:39:33.446, 3, 0, 0, 97887
2026/07/08 12:39:33.462, 4, 0, 0, 97887
2026/07/08 12:39:33.475, 5, 0, 0, 97887
2026/07/08 12:39:33.487, 6, 0, 0, 97887
2026/07/08 12:39:33.500, 7, 0, 0, 97887
2026/07/08 12:39:34.512, 0, 0, 0, 97887
2026/07/08 12:39:34.528, 1, 0, 0, 97887
2026/07/08 12:39:34.542, 2, 0, 0, 97887
2026/07/08 12:39:34.557, 3, 0, 0, 97887
2026/07/08 12:39:34.571, 4, 0, 0, 97887
2026/07/08 12:39:34.585, 5, 0, 0, 97887
2026/07/08 12:39:34.600, 6, 0, 0, 97887
2026/07/08 12:39:34.614, 7, 0, 0, 97887
2026/07/08 12:39:35.627, 0, 0, 0, 97887
2026/07/08 12:39:35.645, 1, 0, 0, 97887
2026/07/08 12:39:35.661, 2, 0, 0, 97887
2026/07/08 12:39:35.678, 3, 0, 0, 97887
2026/07/08 12:39:35.693, 4, 0, 0, 97887
2026/07/08 12:39:35.708, 5, 0, 0, 97887
2026/07/08 12:39:35.724, 6, 0, 0, 97887
2026/07/08 12:39:35.740, 7, 0, 0, 97887
2026/07/08 12:39:36.757, 0, 0, 0, 97887
2026/07/08 12:39:36.775, 1, 0, 0, 97887
2026/07/08 12:39:36.791, 2, 0, 0, 97887
2026/07/08 12:39:36.808, 3, 0, 0, 97887
2026/07/08 12:39:36.822, 4, 0, 0, 97887
2026/07/08 12:39:36.839, 5, 0, 0, 97887
2026/07/08 12:39:36.853, 6, 0, 0, 97887
2026/07/08 12:39:36.867, 7, 0, 0, 97887
2026/07/08 12:39:37.884, 0, 0, 0, 97887
2026/07/08 12:39:37.902, 1, 0, 0, 97887
2026/07/08 12:39:37.919, 2, 0, 0, 97887
2026/07/08 12:39:37.935, 3, 0, 0, 97887
2026/07/08 12:39:37.953, 4, 0, 0, 97887
2026/07/08 12:39:37.970, 5, 0, 0, 97887
2026/07/08 12:39:37.985, 6, 0, 0, 97887
2026/07/08 12:39:38.000, 7, 0, 0, 97887
2026/07/08 12:39:39.017, 0, 0, 0, 97887
2026/07/08 12:39:39.039, 1, 0, 0, 97887
2026/07/08 12:39:39.059, 2, 0, 0, 97887
2026/07/08 12:39:39.078, 3, 0, 1, 97887
2026/07/08 12:39:39.094, 4, 0, 1, 97887
2026/07/08 12:39:39.115, 5, 0, 1, 97887
2026/07/08 12:39:39.134, 6, 0, 1, 97887
2026/07/08 12:39:39.154, 7, 0, 1, 97887
2026/07/08 12:39:40.221, 0, 0, 3, 97887
2026/07/08 12:39:40.245, 1, 0, 3, 97887
2026/07/08 12:39:40.264, 2, 0, 3, 97887
2026/07/08 12:39:40.281, 3, 0, 3, 97887
2026/07/08 12:39:40.299, 4, 0, 3, 97887
2026/07/08 12:39:40.316, 5, 0, 3, 97887
2026/07/08 12:39:40.335, 6, 0, 3, 97887
2026/07/08 12:39:40.353, 7, 0, 3, 97887
2026/07/08 12:39:41.371, 0, 0, 3, 97887
2026/07/08 12:39:41.389, 1, 0, 3, 97887
2026/07/08 12:39:41.405, 2, 0, 3, 97887
2026/07/08 12:39:41.422, 3, 0, 3, 97887
2026/07/08 12:39:41.438, 4, 0, 3, 97887
2026/07/08 12:39:41.456, 5, 0, 3, 97887
2026/07/08 12:39:41.473, 6, 0, 3, 97887
2026/07/08 12:39:41.489, 7, 0, 3, 97887
2026/07/08 12:39:42.505, 0, 0, 3, 97887
2026/07/08 12:39:42.520, 1, 0, 3, 97887
2026/07/08 12:39:42.536, 2, 0, 3, 97887
2026/07/08 12:39:42.554, 3, 0, 3, 97887
2026/07/08 12:39:42.562, 4, 0, 3, 97887
2026/07/08 12:39:42.571, 5, 0, 3, 97887
2026/07/08 12:39:42.582, 6, 0, 3, 97887
2026/07/08 12:39:42.600, 7, 0, 3, 97887
2026/07/08 12:39:43.618, 0, 0, 3, 97887
2026/07/08 12:39:43.636, 1, 0, 3, 97887
2026/07/08 12:39:43.655, 2, 0, 3, 97887
2026/07/08 12:39:43.673, 3, 0, 3, 97887
2026/07/08 12:39:43.691, 4, 0, 3, 97887
2026/07/08 12:39:43.709, 5, 0, 3, 97887
2026/07/08 12:39:43.727, 6, 0, 3, 97887
2026/07/08 12:39:43.746, 7, 0, 3, 97887
2026/07/08 12:39:44.763, 0, 0, 3, 97887
2026/07/08 12:39:44.779, 1, 0, 3, 97887
