timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 16:08:18.866, 0, 0, 0, 97887
2026/07/08 16:08:18.881, 1, 0, 0, 97887
2026/07/08 16:08:18.895, 2, 0, 0, 97887
2026/07/08 16:08:18.908, 3, 0, 0, 97887
2026/07/08 16:08:18.921, 4, 0, 0, 97887
2026/07/08 16:08:18.936, 5, 0, 0, 97887
2026/07/08 16:08:18.949, 6, 0, 0, 97887
2026/07/08 16:08:18.963, 7, 0, 0, 97887
2026/07/08 16:08:19.977, 0, 0, 0, 97887
2026/07/08 16:08:19.993, 1, 0, 0, 97887
2026/07/08 16:08:20.008, 2, 0, 0, 97887
2026/07/08 16:08:20.022, 3, 0, 0, 97887
2026/07/08 16:08:20.037, 4, 0, 0, 97887
2026/07/08 16:08:20.052, 5, 0, 0, 97887
2026/07/08 16:08:20.066, 6, 0, 0, 97887
2026/07/08 16:08:20.081, 7, 0, 0, 97887
2026/07/08 16:08:21.095, 0, 0, 0, 97887
2026/07/08 16:08:21.111, 1, 0, 0, 97887
2026/07/08 16:08:21.126, 2, 0, 0, 97887
2026/07/08 16:08:21.143, 3, 0, 0, 97887
2026/07/08 16:08:21.160, 4, 0, 0, 97887
2026/07/08 16:08:21.174, 5, 0, 0, 97887
2026/07/08 16:08:21.190, 6, 0, 0, 97887
2026/07/08 16:08:21.205, 7, 0, 0, 97887
2026/07/08 16:08:22.221, 0, 0, 0, 97887
2026/07/08 16:08:22.234, 1, 0, 0, 97887
2026/07/08 16:08:22.249, 2, 0, 0, 97887
2026/07/08 16:08:22.263, 3, 0, 0, 97887
2026/07/08 16:08:22.276, 4, 0, 0, 97887
2026/07/08 16:08:22.285, 5, 0, 0, 97887
2026/07/08 16:08:22.297, 6, 0, 0, 97887
2026/07/08 16:08:22.309, 7, 0, 0, 97887
2026/07/08 16:08:23.322, 0, 0, 0, 97887
2026/07/08 16:08:23.339, 1, 0, 0, 97887
2026/07/08 16:08:23.355, 2, 0, 0, 97887
2026/07/08 16:08:23.370, 3, 0, 0, 97887
2026/07/08 16:08:23.384, 4, 0, 0, 97887
2026/07/08 16:08:23.400, 5, 0, 0, 97887
2026/07/08 16:08:23.416, 6, 0, 0, 97887
2026/07/08 16:08:23.433, 7, 0, 0, 97887
2026/07/08 16:08:24.450, 0, 0, 0, 97887
2026/07/08 16:08:24.463, 1, 0, 0, 97887
2026/07/08 16:08:24.475, 2, 0, 0, 97887
2026/07/08 16:08:24.488, 3, 0, 0, 97887
2026/07/08 16:08:24.501, 4, 0, 0, 97887
2026/07/08 16:08:24.516, 5, 0, 0, 97887
2026/07/08 16:08:24.530, 6, 0, 0, 97887
2026/07/08 16:08:24.545, 7, 0, 0, 97887
2026/07/08 16:08:25.562, 0, 0, 0, 97887
2026/07/08 16:08:25.580, 1, 0, 0, 97887
2026/07/08 16:08:25.596, 2, 0, 0, 97887
2026/07/08 16:08:25.612, 3, 0, 0, 97887
2026/07/08 16:08:25.627, 4, 0, 0, 97887
2026/07/08 16:08:25.642, 5, 0, 0, 97887
2026/07/08 16:08:25.659, 6, 0, 0, 97887
2026/07/08 16:08:25.674, 7, 0, 0, 97887
2026/07/08 16:08:26.689, 0, 0, 0, 97887
2026/07/08 16:08:26.707, 1, 0, 0, 97887
2026/07/08 16:08:26.723, 2, 0, 0, 97887
2026/07/08 16:08:26.738, 3, 0, 0, 97887
2026/07/08 16:08:26.754, 4, 0, 0, 97887
2026/07/08 16:08:26.770, 5, 0, 0, 97887
2026/07/08 16:08:26.784, 6, 0, 0, 97887
2026/07/08 16:08:26.797, 7, 0, 0, 97887
2026/07/08 16:08:27.815, 0, 0, 0, 97887
