timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 16:35:49.089, 0, 0, 0, 97887
2026/07/08 16:35:49.105, 1, 0, 0, 97887
2026/07/08 16:35:49.119, 2, 0, 0, 97887
2026/07/08 16:35:49.130, 3, 0, 0, 97887
2026/07/08 16:35:49.145, 4, 0, 0, 97887
2026/07/08 16:35:49.162, 5, 0, 0, 97887
2026/07/08 16:35:49.179, 6, 0, 0, 97887
2026/07/08 16:35:49.195, 7, 0, 0, 97887
2026/07/08 16:35:50.213, 0, 0, 0, 97887
2026/07/08 16:35:50.230, 1, 0, 0, 97887
2026/07/08 16:35:50.245, 2, 0, 0, 97887
2026/07/08 16:35:50.259, 3, 0, 0, 97887
2026/07/08 16:35:50.274, 4, 0, 0, 97887
2026/07/08 16:35:50.289, 5, 0, 0, 97887
2026/07/08 16:35:50.304, 6, 0, 0, 97887
2026/07/08 16:35:50.319, 7, 0, 0, 97887
2026/07/08 16:35:51.334, 0, 0, 0, 97887
2026/07/08 16:35:51.343, 1, 0, 0, 97887
2026/07/08 16:35:51.352, 2, 0, 0, 97887
2026/07/08 16:35:51.365, 3, 0, 0, 97887
2026/07/08 16:35:51.374, 4, 0, 0, 97887
2026/07/08 16:35:51.383, 5, 0, 0, 97887
2026/07/08 16:35:51.395, 6, 0, 0, 97887
2026/07/08 16:35:51.409, 7, 0, 0, 97887
2026/07/08 16:35:52.422, 0, 0, 0, 97887
2026/07/08 16:35:52.436, 1, 0, 0, 97887
2026/07/08 16:35:52.448, 2, 0, 0, 97887
2026/07/08 16:35:52.458, 3, 0, 0, 97887
2026/07/08 16:35:52.470, 4, 0, 0, 97887
2026/07/08 16:35:52.480, 5, 0, 0, 97887
2026/07/08 16:35:52.492, 6, 0, 0, 97887
2026/07/08 16:35:52.505, 7, 0, 0, 97887
2026/07/08 16:35:53.515, 0, 0, 0, 97887
2026/07/08 16:35:53.530, 1, 0, 0, 97887
2026/07/08 16:35:53.543, 2, 0, 0, 97887
2026/07/08 16:35:53.558, 3, 0, 0, 97887
2026/07/08 16:35:53.573, 4, 0, 0, 97887
2026/07/08 16:35:53.588, 5, 0, 0, 97887
2026/07/08 16:35:53.606, 6, 0, 0, 97887
2026/07/08 16:35:53.622, 7, 0, 0, 97887
2026/07/08 16:35:54.641, 0, 0, 0, 97887
2026/07/08 16:35:54.658, 1, 0, 0, 97887
2026/07/08 16:35:54.672, 2, 0, 0, 97887
2026/07/08 16:35:54.687, 3, 0, 0, 97887
2026/07/08 16:35:54.704, 4, 0, 0, 97887
2026/07/08 16:35:54.720, 5, 0, 0, 97887
2026/07/08 16:35:54.735, 6, 0, 0, 97887
2026/07/08 16:35:54.752, 7, 0, 0, 97887
2026/07/08 16:35:55.771, 0, 0, 0, 97887
2026/07/08 16:35:55.782, 1, 0, 0, 97887
2026/07/08 16:35:55.801, 2, 0, 0, 97887
2026/07/08 16:35:55.816, 3, 0, 0, 97887
2026/07/08 16:35:55.833, 4, 0, 0, 97887
2026/07/08 16:35:55.847, 5, 0, 0, 97887
2026/07/08 16:35:55.864, 6, 0, 0, 97887
2026/07/08 16:35:55.882, 7, 0, 0, 97887
2026/07/08 16:35:56.900, 0, 0, 0, 97887
2026/07/08 16:35:56.915, 1, 0, 0, 97887
2026/07/08 16:35:56.929, 2, 0, 0, 97887
2026/07/08 16:35:56.942, 3, 0, 0, 97887
2026/07/08 16:35:56.954, 4, 0, 0, 97887
2026/07/08 16:35:56.967, 5, 0, 0, 97887
2026/07/08 16:35:56.978, 6, 0, 0, 97887
2026/07/08 16:35:56.990, 7, 0, 0, 97887
2026/07/08 16:35:58.003, 0, 0, 0, 97887
2026/07/08 16:35:58.016, 1, 0, 0, 97887
2026/07/08 16:35:58.030, 2, 0, 0, 97887
2026/07/08 16:35:58.043, 3, 0, 0, 97887
2026/07/08 16:35:58.059, 4, 0, 0, 97887
2026/07/08 16:35:58.072, 5, 0, 0, 97887
2026/07/08 16:35:58.086, 6, 0, 0, 97887
2026/07/08 16:35:58.100, 7, 0, 0, 97887
2026/07/08 16:35:59.116, 0, 0, 1, 97887
2026/07/08 16:35:59.129, 1, 0, 1, 97887
2026/07/08 16:35:59.143, 2, 0, 1, 97887
2026/07/08 16:35:59.164, 3, 0, 1, 97887
2026/07/08 16:35:59.210, 4, 0, 1, 97887
2026/07/08 16:35:59.221, 5, 0, 1, 97887
2026/07/08 16:35:59.232, 6, 0, 1, 97887
2026/07/08 16:35:59.241, 7, 0, 1, 97887
2026/07/08 16:36:00.252, 0, 0, 3, 97887
2026/07/08 16:36:00.269, 1, 0, 3, 97887
2026/07/08 16:36:00.286, 2, 0, 3, 97887
2026/07/08 16:36:00.304, 3, 0, 3, 97887
2026/07/08 16:36:00.320, 4, 0, 3, 97887
2026/07/08 16:36:00.335, 5, 0, 3, 97887
2026/07/08 16:36:00.348, 6, 0, 3, 97887
2026/07/08 16:36:00.363, 7, 0, 3, 97887
2026/07/08 16:36:01.383, 0, 0, 3, 97887
2026/07/08 16:36:01.402, 1, 0, 3, 97887
2026/07/08 16:36:01.421, 2, 0, 3, 97887
