timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 14:55:08.192, 0, 0, 0, 97887
2026/07/08 14:55:08.209, 1, 0, 0, 97887
2026/07/08 14:55:08.224, 2, 0, 0, 97887
2026/07/08 14:55:08.240, 3, 0, 0, 97887
2026/07/08 14:55:08.255, 4, 0, 0, 97887
2026/07/08 14:55:08.269, 5, 0, 0, 97887
2026/07/08 14:55:08.283, 6, 0, 0, 97887
2026/07/08 14:55:08.295, 7, 0, 0, 97887
2026/07/08 14:55:09.306, 0, 0, 0, 97887
2026/07/08 14:55:09.316, 1, 0, 0, 97887
2026/07/08 14:55:09.330, 2, 0, 0, 97887
2026/07/08 14:55:09.343, 3, 0, 0, 97887
2026/07/08 14:55:09.356, 4, 0, 0, 97887
2026/07/08 14:55:09.367, 5, 0, 0, 97887
2026/07/08 14:55:09.380, 6, 0, 0, 97887
2026/07/08 14:55:09.393, 7, 0, 0, 97887
2026/07/08 14:55:10.406, 0, 0, 0, 97887
2026/07/08 14:55:10.423, 1, 0, 0, 97887
2026/07/08 14:55:10.446, 2, 0, 0, 97887
2026/07/08 14:55:10.462, 3, 0, 0, 97887
2026/07/08 14:55:10.480, 4, 0, 0, 97887
2026/07/08 14:55:10.493, 5, 0, 0, 97887
2026/07/08 14:55:10.507, 6, 0, 0, 97887
2026/07/08 14:55:10.523, 7, 0, 0, 97887
2026/07/08 14:55:11.537, 0, 0, 0, 97887
2026/07/08 14:55:11.552, 1, 0, 0, 97887
2026/07/08 14:55:11.567, 2, 0, 0, 97887
2026/07/08 14:55:11.584, 3, 0, 0, 97887
2026/07/08 14:55:11.599, 4, 0, 0, 97887
2026/07/08 14:55:11.610, 5, 0, 0, 97887
2026/07/08 14:55:11.621, 6, 0, 0, 97887
2026/07/08 14:55:11.634, 7, 0, 0, 97887
2026/07/08 14:55:12.645, 0, 0, 0, 97887
2026/07/08 14:55:12.664, 1, 0, 0, 97887
2026/07/08 14:55:12.682, 2, 0, 0, 97887
2026/07/08 14:55:12.700, 3, 0, 0, 97887
2026/07/08 14:55:12.715, 4, 0, 0, 97887
2026/07/08 14:55:12.733, 5, 0, 0, 97887
2026/07/08 14:55:12.752, 6, 0, 0, 97887
2026/07/08 14:55:12.769, 7, 0, 0, 97887
2026/07/08 14:55:13.785, 0, 0, 0, 97887
2026/07/08 14:55:13.802, 1, 0, 0, 97887
2026/07/08 14:55:13.822, 2, 0, 0, 97887
2026/07/08 14:55:13.839, 3, 0, 0, 97887
2026/07/08 14:55:13.854, 4, 0, 0, 97887
2026/07/08 14:55:13.871, 5, 0, 0, 97887
2026/07/08 14:55:13.887, 6, 0, 0, 97887
2026/07/08 14:55:13.903, 7, 0, 0, 97887
2026/07/08 14:55:14.920, 0, 0, 0, 97887
2026/07/08 14:55:14.935, 1, 0, 0, 97887
2026/07/08 14:55:14.948, 2, 0, 0, 97887
2026/07/08 14:55:14.961, 3, 0, 0, 97887
2026/07/08 14:55:14.972, 4, 0, 0, 97887
2026/07/08 14:55:14.986, 5, 0, 0, 97887
2026/07/08 14:55:15.000, 6, 0, 0, 97887
2026/07/08 14:55:15.013, 7, 0, 0, 97887
2026/07/08 14:55:16.028, 0, 0, 1, 97887
2026/07/08 14:55:16.054, 1, 0, 1, 97887
2026/07/08 14:55:16.101, 2, 0, 1, 97887
2026/07/08 14:55:16.121, 3, 0, 1, 97887
2026/07/08 14:55:16.139, 4, 0, 1, 97887
2026/07/08 14:55:16.171, 5, 0, 1, 97887
2026/07/08 14:55:16.218, 6, 0, 1, 97887
2026/07/08 14:55:16.232, 7, 0, 1, 97887
2026/07/08 14:55:17.251, 0, 0, 3, 97887
2026/07/08 14:55:17.269, 1, 0, 3, 97887
2026/07/08 14:55:17.284, 2, 0, 3, 97887
2026/07/08 14:55:17.302, 3, 0, 3, 97887
2026/07/08 14:55:17.318, 4, 0, 3, 97887
2026/07/08 14:55:17.334, 5, 0, 3, 97887
2026/07/08 14:55:17.351, 6, 0, 3, 97887
2026/07/08 14:55:17.369, 7, 0, 3, 97887
