timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 15:06:14.853, 0, 0, 0, 97887
2026/07/08 15:06:14.868, 1, 0, 0, 97887
2026/07/08 15:06:14.885, 2, 0, 0, 97887
2026/07/08 15:06:14.902, 3, 0, 0, 97887
2026/07/08 15:06:14.918, 4, 0, 0, 97887
2026/07/08 15:06:14.934, 5, 100, 0, 97887
2026/07/08 15:06:14.949, 6, 0, 0, 97887
2026/07/08 15:06:14.965, 7, 0, 0, 97887
2026/07/08 15:06:15.980, 0, 0, 0, 97887
2026/07/08 15:06:15.996, 1, 0, 0, 97887
2026/07/08 15:06:16.012, 2, 0, 0, 97887
2026/07/08 15:06:16.028, 3, 0, 0, 97887
2026/07/08 15:06:16.042, 4, 0, 0, 97887
2026/07/08 15:06:16.055, 5, 100, 0, 97887
2026/07/08 15:06:16.066, 6, 0, 0, 97887
2026/07/08 15:06:16.080, 7, 0, 0, 97887
2026/07/08 15:06:17.093, 0, 0, 0, 97887
2026/07/08 15:06:17.112, 1, 0, 0, 97887
2026/07/08 15:06:17.125, 2, 0, 0, 97887
2026/07/08 15:06:17.147, 3, 0, 0, 97887
2026/07/08 15:06:17.162, 4, 0, 0, 97887
2026/07/08 15:06:17.174, 5, 100, 0, 97887
2026/07/08 15:06:17.190, 6, 0, 0, 97887
2026/07/08 15:06:17.204, 7, 0, 0, 97887
2026/07/08 15:06:18.220, 0, 0, 0, 97887
2026/07/08 15:06:18.235, 1, 0, 0, 97887
2026/07/08 15:06:18.251, 2, 0, 0, 97887
2026/07/08 15:06:18.269, 3, 0, 0, 97887
2026/07/08 15:06:18.285, 4, 0, 0, 97887
2026/07/08 15:06:18.301, 5, 100, 0, 97887
2026/07/08 15:06:18.316, 6, 0, 0, 97887
2026/07/08 15:06:18.328, 7, 0, 0, 97887
2026/07/08 15:06:19.341, 0, 0, 0, 97887
2026/07/08 15:06:19.362, 1, 0, 0, 97887
2026/07/08 15:06:19.381, 2, 0, 0, 97887
2026/07/08 15:06:19.400, 3, 0, 0, 97887
2026/07/08 15:06:19.420, 4, 0, 0, 97887
2026/07/08 15:06:19.440, 5, 100, 0, 97887
2026/07/08 15:06:19.459, 6, 0, 0, 97887
2026/07/08 15:06:19.477, 7, 0, 0, 97887
2026/07/08 15:06:20.495, 0, 0, 0, 97887
2026/07/08 15:06:20.516, 1, 0, 0, 97887
2026/07/08 15:06:20.535, 2, 0, 0, 97887
2026/07/08 15:06:20.554, 3, 0, 0, 97887
2026/07/08 15:06:20.572, 4, 0, 0, 97887
2026/07/08 15:06:20.592, 5, 100, 0, 97887
2026/07/08 15:06:20.612, 6, 0, 0, 97887
2026/07/08 15:06:20.630, 7, 0, 0, 97887
2026/07/08 15:06:21.649, 0, 0, 0, 97887
2026/07/08 15:06:21.665, 1, 0, 0, 97887
2026/07/08 15:06:21.680, 2, 0, 0, 97887
2026/07/08 15:06:21.694, 3, 0, 0, 97887
2026/07/08 15:06:21.707, 4, 0, 0, 97887
2026/07/08 15:06:21.721, 5, 100, 0, 97887
2026/07/08 15:06:21.736, 6, 0, 0, 97887
2026/07/08 15:06:21.749, 7, 0, 0, 97887
2026/07/08 15:06:22.761, 0, 0, 0, 97887
2026/07/08 15:06:22.781, 1, 0, 0, 97887
2026/07/08 15:06:22.798, 2, 0, 0, 97887
2026/07/08 15:06:22.815, 3, 0, 0, 97887
2026/07/08 15:06:22.831, 4, 0, 0, 97887
2026/07/08 15:06:22.848, 5, 100, 0, 97887
2026/07/08 15:06:22.864, 6, 0, 0, 97887
2026/07/08 15:06:22.879, 7, 0, 0, 97887
2026/07/08 15:06:23.894, 0, 0, 3, 97887
2026/07/08 15:06:23.938, 1, 0, 3, 97887
2026/07/08 15:06:23.956, 2, 0, 3, 97887
2026/07/08 15:06:23.973, 3, 0, 3, 97887
2026/07/08 15:06:23.991, 4, 0, 3, 97887
2026/07/08 15:06:24.055, 5, 100, 3, 97887
2026/07/08 15:06:24.072, 6, 0, 3, 97887
2026/07/08 15:06:24.089, 7, 0, 3, 97887
2026/07/08 15:06:25.104, 0, 0, 3, 97887
2026/07/08 15:06:25.120, 1, 0, 3, 97887
2026/07/08 15:06:25.135, 2, 0, 3, 97887
2026/07/08 15:06:25.149, 3, 0, 3, 97887
2026/07/08 15:06:25.163, 4, 0, 3, 97887
2026/07/08 15:06:25.177, 5, 100, 3, 97887
2026/07/08 15:06:25.191, 6, 0, 3, 97887
2026/07/08 15:06:25.205, 7, 0, 3, 97887
2026/07/08 15:06:26.220, 0, 0, 3, 97887
2026/07/08 15:06:26.239, 1, 0, 3, 97887
2026/07/08 15:06:26.253, 2, 0, 3, 97887
2026/07/08 15:06:26.268, 3, 0, 3, 97887
2026/07/08 15:06:26.282, 4, 0, 3, 97887
2026/07/08 15:06:26.297, 5, 100, 3, 97887
2026/07/08 15:06:26.310, 6, 0, 3, 97887
2026/07/08 15:06:26.325, 7, 0, 3, 97887
2026/07/08 15:06:27.341, 0, 0, 3, 97887
2026/07/08 15:06:27.360, 1, 0, 3, 97887
2026/07/08 15:06:27.377, 2, 0, 3, 97887
2026/07/08 15:06:27.396, 3, 0, 3, 97887
2026/07/08 15:06:27.412, 4, 0, 3, 97887
2026/07/08 15:06:27.430, 5, 100, 3, 97887
2026/07/08 15:06:27.445, 6, 0, 3, 97887
2026/07/08 15:06:27.462, 7, 0, 3, 97887
2026/07/08 15:06:28.480, 0, 0, 3, 97887
2026/07/08 15:06:28.501, 1, 0, 3, 97887
2026/07/08 15:06:28.521, 2, 0, 3, 97887
2026/07/08 15:06:28.541, 3, 0, 3, 97887
