timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 13:09:13.389, 0, 0, 0, 97887
2026/07/08 13:09:13.405, 1, 0, 0, 97887
2026/07/08 13:09:13.422, 2, 0, 0, 97887
2026/07/08 13:09:13.438, 3, 0, 0, 97887
2026/07/08 13:09:13.452, 4, 0, 0, 97887
2026/07/08 13:09:13.467, 5, 0, 0, 97887
2026/07/08 13:09:13.482, 6, 0, 0, 97887
2026/07/08 13:09:13.497, 7, 0, 0, 97887
2026/07/08 13:09:14.513, 0, 0, 0, 97887
2026/07/08 13:09:14.529, 1, 0, 0, 97887
2026/07/08 13:09:14.544, 2, 0, 0, 97887
2026/07/08 13:09:14.560, 3, 0, 0, 97887
2026/07/08 13:09:14.574, 4, 0, 0, 97887
2026/07/08 13:09:14.587, 5, 0, 0, 97887
2026/07/08 13:09:14.601, 6, 0, 0, 97887
2026/07/08 13:09:14.614, 7, 0, 0, 97887
2026/07/08 13:09:15.629, 0, 0, 0, 97887
2026/07/08 13:09:15.645, 1, 0, 0, 97887
2026/07/08 13:09:15.660, 2, 0, 0, 97887
2026/07/08 13:09:15.676, 3, 0, 0, 97887
2026/07/08 13:09:15.692, 4, 0, 0, 97887
2026/07/08 13:09:15.708, 5, 0, 0, 97887
2026/07/08 13:09:15.724, 6, 0, 0, 97887
2026/07/08 13:09:15.742, 7, 0, 0, 97887
2026/07/08 13:09:16.760, 0, 0, 0, 97887
2026/07/08 13:09:16.776, 1, 0, 0, 97887
2026/07/08 13:09:16.791, 2, 0, 0, 97887
2026/07/08 13:09:16.809, 3, 0, 0, 97887
2026/07/08 13:09:16.827, 4, 0, 0, 97887
2026/07/08 13:09:16.841, 5, 0, 0, 97887
2026/07/08 13:09:16.856, 6, 0, 0, 97887
2026/07/08 13:09:16.869, 7, 0, 0, 97887
2026/07/08 13:09:17.881, 0, 0, 0, 97887
2026/07/08 13:09:17.897, 1, 0, 0, 97887
2026/07/08 13:09:17.912, 2, 0, 0, 97887
2026/07/08 13:09:17.927, 3, 0, 0, 97887
2026/07/08 13:09:17.944, 4, 0, 0, 97887
2026/07/08 13:09:17.964, 5, 0, 0, 97887
2026/07/08 13:09:17.982, 6, 0, 0, 97887
2026/07/08 13:09:18.000, 7, 0, 0, 97887
2026/07/08 13:09:19.017, 0, 0, 0, 97887
2026/07/08 13:09:19.033, 1, 0, 0, 97887
2026/07/08 13:09:19.050, 2, 0, 0, 97887
2026/07/08 13:09:19.061, 3, 0, 0, 97887
2026/07/08 13:09:19.071, 4, 0, 0, 97887
2026/07/08 13:09:19.084, 5, 0, 0, 97887
2026/07/08 13:09:19.099, 6, 0, 0, 97887
2026/07/08 13:09:19.115, 7, 0, 0, 97887
2026/07/08 13:09:20.130, 0, 0, 0, 97887
2026/07/08 13:09:20.148, 1, 0, 0, 97887
2026/07/08 13:09:20.165, 2, 0, 0, 97887
2026/07/08 13:09:20.177, 3, 0, 0, 97887
2026/07/08 13:09:20.192, 4, 0, 0, 97887
2026/07/08 13:09:20.205, 5, 0, 0, 97887
2026/07/08 13:09:20.222, 6, 0, 0, 97887
2026/07/08 13:09:20.237, 7, 0, 0, 97887
2026/07/08 13:09:21.252, 0, 0, 0, 97887
2026/07/08 13:09:21.269, 1, 0, 0, 97887
2026/07/08 13:09:21.285, 2, 0, 0, 97887
2026/07/08 13:09:21.301, 3, 0, 0, 97887
2026/07/08 13:09:21.318, 4, 0, 1, 97887
2026/07/08 13:09:21.335, 5, 0, 1, 97887
2026/07/08 13:09:21.359, 6, 0, 1, 97887
2026/07/08 13:09:21.377, 7, 0, 1, 97887
2026/07/08 13:09:22.393, 0, 0, 3, 97887
2026/07/08 13:09:22.411, 1, 0, 3, 97887
2026/07/08 13:09:22.426, 2, 0, 3, 97887
2026/07/08 13:09:22.442, 3, 0, 3, 97887
2026/07/08 13:09:22.459, 4, 0, 3, 97887
2026/07/08 13:09:22.476, 5, 0, 3, 97887
2026/07/08 13:09:22.493, 6, 0, 3, 97887
2026/07/08 13:09:22.510, 7, 0, 3, 97887
2026/07/08 13:09:23.523, 0, 0, 3, 97887
2026/07/08 13:09:23.542, 1, 0, 3, 97887
2026/07/08 13:09:23.559, 2, 0, 3, 97887
2026/07/08 13:09:23.575, 3, 0, 3, 97887
2026/07/08 13:09:23.591, 4, 0, 3, 97887
2026/07/08 13:09:23.606, 5, 0, 3, 97887
2026/07/08 13:09:23.619, 6, 0, 3, 97887
2026/07/08 13:09:23.632, 7, 0, 3, 97887
2026/07/08 13:09:24.648, 0, 0, 3, 97887
2026/07/08 13:09:24.663, 1, 0, 3, 97887
2026/07/08 13:09:24.679, 2, 0, 3, 97887
2026/07/08 13:09:24.695, 3, 0, 3, 97887
2026/07/08 13:09:24.711, 4, 0, 3, 97887
2026/07/08 13:09:24.727, 5, 0, 3, 97887
2026/07/08 13:09:24.739, 6, 0, 3, 97887
2026/07/08 13:09:24.756, 7, 0, 3, 97887
2026/07/08 13:09:25.772, 0, 0, 3, 97887
2026/07/08 13:09:25.788, 1, 0, 3, 97887
2026/07/08 13:09:25.803, 2, 0, 3, 97887
2026/07/08 13:09:25.814, 3, 0, 3, 97887
2026/07/08 13:09:25.826, 4, 0, 3, 97887
2026/07/08 13:09:25.842, 5, 0, 3, 97887
2026/07/08 13:09:25.859, 6, 0, 3, 97887
2026/07/08 13:09:25.875, 7, 0, 3, 97887
2026/07/08 13:09:26.893, 0, 0, 3, 97887
2026/07/08 13:09:26.910, 1, 0, 3, 97887
2026/07/08 13:09:26.926, 2, 0, 3, 97887
2026/07/08 13:09:26.941, 3, 0, 3, 97887
2026/07/08 13:09:26.958, 4, 0, 3, 97887
2026/07/08 13:09:26.975, 5, 0, 3, 97887
2026/07/08 13:09:26.989, 6, 0, 3, 97887
2026/07/08 13:09:27.004, 7, 0, 3, 97887
2026/07/08 13:09:28.021, 0, 0, 3, 97887
2026/07/08 13:09:28.035, 1, 0, 3, 97887
