timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 15:24:41.896, 0, 0, 0, 97887
2026/07/08 15:24:41.915, 1, 0, 0, 97887
2026/07/08 15:24:41.928, 2, 0, 0, 97887
2026/07/08 15:24:41.944, 3, 0, 0, 97887
2026/07/08 15:24:41.962, 4, 0, 0, 97887
2026/07/08 15:24:41.980, 5, 0, 0, 97887
2026/07/08 15:24:41.998, 6, 0, 0, 97887
2026/07/08 15:24:42.013, 7, 0, 0, 97887
2026/07/08 15:24:43.030, 0, 0, 0, 97887
2026/07/08 15:24:43.047, 1, 0, 0, 97887
2026/07/08 15:24:43.064, 2, 0, 0, 97887
2026/07/08 15:24:43.080, 3, 0, 0, 97887
2026/07/08 15:24:43.099, 4, 0, 0, 97887
2026/07/08 15:24:43.115, 5, 0, 0, 97887
2026/07/08 15:24:43.131, 6, 0, 0, 97887
2026/07/08 15:24:43.147, 7, 0, 0, 97887
2026/07/08 15:24:44.163, 0, 0, 0, 97887
2026/07/08 15:24:44.185, 1, 0, 0, 97887
2026/07/08 15:24:44.201, 2, 0, 0, 97887
2026/07/08 15:24:44.211, 3, 0, 0, 97887
2026/07/08 15:24:44.229, 4, 0, 0, 97887
2026/07/08 15:24:44.246, 5, 0, 0, 97887
2026/07/08 15:24:44.262, 6, 0, 0, 97887
2026/07/08 15:24:44.279, 7, 0, 0, 97887
2026/07/08 15:24:45.296, 0, 0, 0, 97887
2026/07/08 15:24:45.314, 1, 0, 0, 97887
2026/07/08 15:24:45.330, 2, 0, 0, 97887
2026/07/08 15:24:45.347, 3, 0, 0, 97887
2026/07/08 15:24:45.363, 4, 0, 0, 97887
2026/07/08 15:24:45.378, 5, 0, 0, 97887
2026/07/08 15:24:45.394, 6, 0, 0, 97887
2026/07/08 15:24:45.409, 7, 0, 0, 97887
2026/07/08 15:24:46.423, 0, 0, 0, 97887
2026/07/08 15:24:46.445, 1, 0, 0, 97887
2026/07/08 15:24:46.465, 2, 0, 0, 97887
