timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 16:52:53.569, 0, 0, 0, 97887
2026/07/08 16:52:53.585, 1, 0, 0, 97887
2026/07/08 16:52:53.600, 2, 0, 0, 97887
2026/07/08 16:52:53.615, 3, 0, 0, 97887
2026/07/08 16:52:53.629, 4, 0, 0, 97887
2026/07/08 16:52:53.643, 5, 0, 0, 97887
2026/07/08 16:52:53.657, 6, 0, 0, 97887
2026/07/08 16:52:53.672, 7, 0, 0, 97887
2026/07/08 16:52:54.687, 0, 0, 0, 97887
2026/07/08 16:52:54.701, 1, 0, 0, 97887
2026/07/08 16:52:54.715, 2, 0, 0, 97887
2026/07/08 16:52:54.729, 3, 0, 0, 97887
2026/07/08 16:52:54.744, 4, 0, 0, 97887
2026/07/08 16:52:54.760, 5, 0, 0, 97887
2026/07/08 16:52:54.773, 6, 0, 0, 97887
2026/07/08 16:52:54.789, 7, 0, 0, 97887
2026/07/08 16:52:55.803, 0, 0, 0, 97887
2026/07/08 16:52:55.817, 1, 0, 0, 97887
2026/07/08 16:52:55.830, 2, 0, 0, 97887
2026/07/08 16:52:55.843, 3, 0, 0, 97887
2026/07/08 16:52:55.857, 4, 0, 0, 97887
2026/07/08 16:52:55.873, 5, 0, 0, 97887
2026/07/08 16:52:55.885, 6, 0, 0, 97887
2026/07/08 16:52:55.897, 7, 0, 0, 97887
2026/07/08 16:52:56.911, 0, 0, 0, 97887
2026/07/08 16:52:56.922, 1, 0, 0, 97887
2026/07/08 16:52:56.931, 2, 0, 0, 97887
2026/07/08 16:52:56.941, 3, 0, 0, 97887
2026/07/08 16:52:56.949, 4, 0, 0, 97887
2026/07/08 16:52:56.957, 5, 0, 0, 97887
2026/07/08 16:52:56.967, 6, 0, 0, 97887
2026/07/08 16:52:56.977, 7, 0, 0, 97887
2026/07/08 16:52:57.987, 0, 0, 0, 97887
2026/07/08 16:52:58.002, 1, 0, 0, 97887
2026/07/08 16:52:58.015, 2, 0, 0, 97887
2026/07/08 16:52:58.032, 3, 0, 0, 97887
2026/07/08 16:52:58.046, 4, 0, 0, 97887
2026/07/08 16:52:58.059, 5, 0, 0, 97887
2026/07/08 16:52:58.075, 6, 0, 0, 97887
2026/07/08 16:52:58.089, 7, 0, 0, 97887
2026/07/08 16:52:59.108, 0, 0, 0, 97887
2026/07/08 16:52:59.126, 1, 0, 0, 97887
2026/07/08 16:52:59.139, 2, 0, 0, 97887
2026/07/08 16:52:59.154, 3, 0, 0, 97887
2026/07/08 16:52:59.171, 4, 0, 0, 97887
2026/07/08 16:52:59.188, 5, 0, 0, 97887
2026/07/08 16:52:59.205, 6, 0, 0, 97887
2026/07/08 16:52:59.219, 7, 0, 0, 97887
2026/07/08 16:53:00.229, 0, 0, 0, 97887
2026/07/08 16:53:00.247, 1, 0, 0, 97887
2026/07/08 16:53:00.261, 2, 0, 0, 97887
2026/07/08 16:53:00.278, 3, 0, 0, 97887
2026/07/08 16:53:00.295, 4, 0, 0, 97887
2026/07/08 16:53:00.314, 5, 0, 0, 97887
2026/07/08 16:53:00.334, 6, 0, 0, 97887
2026/07/08 16:53:00.352, 7, 0, 0, 97887
2026/07/08 16:53:01.370, 0, 0, 0, 97887
2026/07/08 16:53:01.384, 1, 0, 0, 97887
2026/07/08 16:53:01.400, 2, 0, 0, 97887
2026/07/08 16:53:01.414, 3, 0, 0, 97887
2026/07/08 16:53:01.426, 4, 0, 0, 97887
2026/07/08 16:53:01.439, 5, 0, 0, 97887
2026/07/08 16:53:01.453, 6, 0, 0, 97887
2026/07/08 16:53:01.468, 7, 0, 0, 97887
2026/07/08 16:53:02.482, 0, 0, 0, 97887
2026/07/08 16:53:02.496, 1, 0, 0, 97887
2026/07/08 16:53:02.510, 2, 0, 0, 97887
2026/07/08 16:53:02.521, 3, 0, 0, 97887
2026/07/08 16:53:02.530, 4, 0, 0, 97887
2026/07/08 16:53:02.539, 5, 0, 0, 97887
2026/07/08 16:53:02.551, 6, 0, 0, 97887
2026/07/08 16:53:02.561, 7, 0, 0, 97887
2026/07/08 16:53:03.574, 0, 0, 1, 97887
2026/07/08 16:53:03.593, 1, 0, 1, 97887
2026/07/08 16:53:03.612, 2, 0, 1, 97887
2026/07/08 16:53:03.632, 3, 0, 1, 97887
2026/07/08 16:53:03.680, 4, 0, 1, 97887
2026/07/08 16:53:03.701, 5, 0, 1, 97887
2026/07/08 16:53:03.717, 6, 0, 1, 97887
2026/07/08 16:53:03.734, 7, 0, 1, 97887
2026/07/08 16:53:04.760, 0, 0, 3, 97887
2026/07/08 16:53:04.778, 1, 0, 3, 97887
2026/07/08 16:53:04.795, 2, 0, 3, 97887
2026/07/08 16:53:04.810, 3, 0, 3, 97887
2026/07/08 16:53:04.826, 4, 0, 3, 97887
2026/07/08 16:53:04.843, 5, 0, 3, 97887
2026/07/08 16:53:04.860, 6, 0, 3, 97887
2026/07/08 16:53:04.878, 7, 0, 3, 97887
2026/07/08 16:53:05.896, 0, 0, 3, 97887
2026/07/08 16:53:05.914, 1, 0, 3, 97887
2026/07/08 16:53:05.927, 2, 0, 3, 97887
2026/07/08 16:53:05.942, 3, 0, 3, 97887
2026/07/08 16:53:05.959, 4, 0, 3, 97887
2026/07/08 16:53:05.976, 5, 0, 3, 97887
2026/07/08 16:53:05.990, 6, 0, 3, 97887
2026/07/08 16:53:06.004, 7, 0, 3, 97887
2026/07/08 16:53:07.020, 0, 0, 3, 97887
2026/07/08 16:53:07.038, 1, 0, 3, 97887
2026/07/08 16:53:07.054, 2, 0, 3, 97887
2026/07/08 16:53:07.070, 3, 0, 3, 97887
2026/07/08 16:53:07.083, 4, 0, 3, 97887
2026/07/08 16:53:07.099, 5, 0, 3, 97887
2026/07/08 16:53:07.116, 6, 0, 3, 97887
2026/07/08 16:53:07.134, 7, 0, 3, 97887
2026/07/08 16:53:08.152, 0, 0, 3, 97887
2026/07/08 16:53:08.170, 1, 0, 3, 97887
2026/07/08 16:53:08.187, 2, 0, 3, 97887
2026/07/08 16:53:08.203, 3, 0, 3, 97887
2026/07/08 16:53:08.219, 4, 0, 3, 97887
2026/07/08 16:53:08.236, 5, 0, 3, 97887
2026/07/08 16:53:08.253, 6, 0, 3, 97887
2026/07/08 16:53:08.268, 7, 0, 3, 97887
2026/07/08 16:53:09.284, 0, 0, 3, 97887
2026/07/08 16:53:09.301, 1, 0, 3, 97887
2026/07/08 16:53:09.317, 2, 0, 3, 97887
2026/07/08 16:53:09.331, 3, 0, 3, 97887
2026/07/08 16:53:09.347, 4, 0, 3, 97887
2026/07/08 16:53:09.364, 5, 0, 3, 97887
2026/07/08 16:53:09.380, 6, 0, 3, 97887
