timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/07/08 17:17:57.544, 0, 0, 0, 97887
2026/07/08 17:17:57.559, 1, 0, 0, 97887
2026/07/08 17:17:57.575, 2, 0, 0, 97887
2026/07/08 17:17:57.590, 3, 0, 0, 97887
2026/07/08 17:17:57.605, 4, 0, 0, 97887
2026/07/08 17:17:57.620, 5, 0, 0, 97887
2026/07/08 17:17:57.635, 6, 0, 0, 97887
2026/07/08 17:17:57.649, 7, 0, 0, 97887
2026/07/08 17:17:58.664, 0, 0, 0, 97887
2026/07/08 17:17:58.679, 1, 0, 0, 97887
2026/07/08 17:17:58.693, 2, 0, 0, 97887
2026/07/08 17:17:58.705, 3, 0, 0, 97887
2026/07/08 17:17:58.716, 4, 0, 0, 97887
2026/07/08 17:17:58.729, 5, 0, 0, 97887
2026/07/08 17:17:58.740, 6, 0, 0, 97887
2026/07/08 17:17:58.754, 7, 0, 0, 97887
2026/07/08 17:17:59.767, 0, 0, 0, 97887
2026/07/08 17:17:59.781, 1, 0, 0, 97887
2026/07/08 17:17:59.795, 2, 0, 0, 97887
2026/07/08 17:17:59.807, 3, 0, 0, 97887
2026/07/08 17:17:59.821, 4, 0, 0, 97887
2026/07/08 17:17:59.836, 5, 0, 0, 97887
2026/07/08 17:17:59.851, 6, 0, 0, 97887
2026/07/08 17:17:59.866, 7, 0, 0, 97887
2026/07/08 17:18:00.882, 0, 0, 0, 97887
2026/07/08 17:18:00.893, 1, 0, 0, 97887
2026/07/08 17:18:00.905, 2, 0, 0, 97887
2026/07/08 17:18:00.913, 3, 0, 0, 97887
2026/07/08 17:18:00.921, 4, 0, 0, 97887
2026/07/08 17:18:00.929, 5, 0, 0, 97887
2026/07/08 17:18:00.936, 6, 0, 0, 97887
2026/07/08 17:18:00.950, 7, 0, 0, 97887
2026/07/08 17:18:01.963, 0, 0, 0, 97887
2026/07/08 17:18:01.981, 1, 0, 0, 97887
2026/07/08 17:18:01.992, 2, 0, 0, 97887
2026/07/08 17:18:02.001, 3, 0, 0, 97887
2026/07/08 17:18:02.009, 4, 0, 0, 97887
2026/07/08 17:18:02.021, 5, 0, 0, 97887
2026/07/08 17:18:02.033, 6, 0, 0, 97887
2026/07/08 17:18:02.044, 7, 0, 0, 97887
2026/07/08 17:18:03.055, 0, 0, 0, 97887
2026/07/08 17:18:03.066, 1, 0, 0, 97887
2026/07/08 17:18:03.079, 2, 0, 0, 97887
2026/07/08 17:18:03.093, 3, 0, 0, 97887
2026/07/08 17:18:03.108, 4, 0, 0, 97887
2026/07/08 17:18:03.123, 5, 0, 0, 97887
2026/07/08 17:18:03.139, 6, 0, 0, 97887
2026/07/08 17:18:03.155, 7, 0, 0, 97887
2026/07/08 17:18:04.173, 0, 0, 0, 97887
2026/07/08 17:18:04.189, 1, 0, 0, 97887
2026/07/08 17:18:04.206, 2, 0, 0, 97887
2026/07/08 17:18:04.220, 3, 0, 0, 97887
2026/07/08 17:18:04.236, 4, 0, 0, 97887
2026/07/08 17:18:04.252, 5, 0, 0, 97887
2026/07/08 17:18:04.264, 6, 0, 0, 97887
2026/07/08 17:18:04.275, 7, 0, 0, 97887
2026/07/08 17:18:05.289, 0, 0, 0, 97887
2026/07/08 17:18:05.307, 1, 0, 0, 97887
2026/07/08 17:18:05.320, 2, 0, 0, 97887
2026/07/08 17:18:05.336, 3, 0, 0, 97887
2026/07/08 17:18:05.349, 4, 0, 0, 97887
2026/07/08 17:18:05.365, 5, 0, 0, 97887
2026/07/08 17:18:05.380, 6, 0, 0, 97887
2026/07/08 17:18:05.392, 7, 0, 0, 97887
2026/07/08 17:18:06.406, 0, 0, 0, 97887
2026/07/08 17:18:06.423, 1, 0, 0, 97887
2026/07/08 17:18:06.439, 2, 0, 0, 97887
2026/07/08 17:18:06.455, 3, 0, 0, 97887
2026/07/08 17:18:06.470, 4, 0, 0, 97887
2026/07/08 17:18:06.485, 5, 0, 0, 97887
2026/07/08 17:18:06.498, 6, 0, 0, 97887
2026/07/08 17:18:06.515, 7, 0, 0, 97887
2026/07/08 17:18:07.530, 0, 0, 3, 97887
2026/07/08 17:18:07.547, 1, 0, 3, 97887
2026/07/08 17:18:07.570, 2, 0, 3, 97887
2026/07/08 17:18:07.596, 3, 0, 1, 97887
2026/07/08 17:18:07.612, 4, 0, 1, 97887
2026/07/08 17:18:07.632, 5, 0, 1, 97887
2026/07/08 17:18:07.651, 6, 0, 1, 97887
2026/07/08 17:18:07.715, 7, 0, 1, 97887
2026/07/08 17:18:08.732, 0, 0, 3, 97887
2026/07/08 17:18:08.749, 1, 0, 3, 97887
2026/07/08 17:18:08.765, 2, 0, 3, 97887
2026/07/08 17:18:08.781, 3, 0, 3, 97887
2026/07/08 17:18:08.797, 4, 0, 3, 97887
2026/07/08 17:18:08.824, 5, 0, 3, 97887
2026/07/08 17:18:08.838, 6, 0, 3, 97887
2026/07/08 17:18:08.855, 7, 0, 3, 97887
2026/07/08 17:18:09.873, 0, 0, 3, 97887
2026/07/08 17:18:09.889, 1, 0, 3, 97887
2026/07/08 17:18:09.903, 2, 0, 3, 97887
2026/07/08 17:18:09.917, 3, 0, 3, 97887
2026/07/08 17:18:09.929, 4, 0, 3, 97887
2026/07/08 17:18:09.941, 5, 0, 3, 97887
2026/07/08 17:18:09.953, 6, 0, 3, 97887
2026/07/08 17:18:09.968, 7, 0, 3, 97887
2026/07/08 17:18:10.983, 0, 0, 3, 97887
2026/07/08 17:18:10.998, 1, 0, 3, 97887
2026/07/08 17:18:11.014, 2, 0, 3, 97887
2026/07/08 17:18:11.028, 3, 0, 3, 97887
2026/07/08 17:18:11.044, 4, 0, 3, 97887
2026/07/08 17:18:11.063, 5, 0, 3, 97887
2026/07/08 17:18:11.079, 6, 0, 3, 97887
2026/07/08 17:18:11.094, 7, 0, 3, 97887
2026/07/08 17:18:12.106, 0, 0, 3, 97887
2026/07/08 17:18:12.121, 1, 0, 3, 97887
2026/07/08 17:18:12.139, 2, 0, 3, 97887
2026/07/08 17:18:12.156, 3, 0, 3, 97887
2026/07/08 17:18:12.172, 4, 0, 3, 97887
2026/07/08 17:18:12.190, 5, 0, 3, 97887
2026/07/08 17:18:12.205, 6, 0, 3, 97887
2026/07/08 17:18:12.221, 7, 0, 3, 97887
2026/07/08 17:18:13.238, 0, 0, 3, 97887
2026/07/08 17:18:13.256, 1, 0, 3, 97887
2026/07/08 17:18:13.273, 2, 0, 3, 97887
2026/07/08 17:18:13.290, 3, 0, 3, 97887
2026/07/08 17:18:13.308, 4, 0, 3, 97887
2026/07/08 17:18:13.326, 5, 0, 3, 97887
2026/07/08 17:18:13.343, 6, 0, 3, 97887
2026/07/08 17:18:13.360, 7, 0, 3, 97887
2026/07/08 17:18:14.378, 0, 0, 3, 97887
2026/07/08 17:18:14.394, 1, 0, 3, 97887
2026/07/08 17:18:14.410, 2, 0, 3, 97887
2026/07/08 17:18:14.425, 3, 0, 3, 97887
2026/07/08 17:18:14.442, 4, 0, 3, 97887
2026/07/08 17:18:14.456, 5, 0, 3, 97887
2026/07/08 17:18:14.467, 6, 0, 3, 97887
2026/07/08 17:18:14.480, 7, 0, 3, 97887
2026/07/08 17:18:15.492, 0, 0, 3, 97887
2026/07/08 17:18:15.511, 1, 0, 3, 97887
2026/07/08 17:18:15.529, 2, 0, 3, 97887
2026/07/08 17:18:15.547, 3, 0, 3, 97887
2026/07/08 17:18:15.568, 4, 0, 3, 97887
2026/07/08 17:18:15.584, 5, 0, 3, 97887
2026/07/08 17:18:15.601, 6, 0, 3, 97887
2026/07/08 17:18:15.617, 7, 0, 3, 97887
